,,,GSE21935_Barnes_FSCZvsCTL,GSE21935_Barnes_MSCZvsCTL,GSE17612_Maycox_FSCZvsCTL,GSE17612_Maycox_MSCZvsCTL,GSE46509_Piet_FSCZvsCTL,GSE46509_Piet_MSCZvsCTL,GSE37981_Piet_FSCZvsCTL,GSE37981_Piet_MSCZvsCTL,female_scz_ancg_dge,female_scz_dlpfc_dge,female_scz_nacc_dge,male_scz_ancg_dge,male_scz_dlpfc_dge,male_scz_nAcc_dge
CELLULAR HYPEROSMOTIC RESPONSE,GOBP,GO:0071474,0,0,0,0,0,0,0,0,0,0,0,1.903461208,1.986901638,1.839772705
FOREBRAIN NEURON DEVELOPMENT,GOBP,GO:0021884,0,2.240223119,0,0,0,1.706492098,0,0,1.492787758,0,0,0,0,0
RESPONSE TO UV,GOBP,GO:0009411,0,0,0,0,0,0,0,0,0,0,0,1.702865528,1.529132388,1.662701985
NEGATIVE REGULATION OF BIOMINERAL TISSUE DEVELOPMENT,GOBP,GO:0070168,0,0,0,0,0,0,0,0,2.517658099,0,1.355802244,1.879780414,0,0
REGULATION OF ALCOHOL BIOSYNTHETIC PROCESS,GOBP,GO:1902930,0,0,0,0,0,0,0,0,4.865533925,0,0,1.334062259,0,1.808398601
POSITIVE REGULATION OF GLUCOSE IMPORT,GOBP,GO:0046326,0,1.847286736,0,0,0,0,0,0,0,0,4.120935879,2.599748953,0,0
REGULATION OF CENTROSOME CYCLE,GOBP,GO:0046605,0,0,0,0,0,0,0,1.425896493,0,3.141179682,1.47084186,0,0,0
DETERMINATION OF LEFT/RIGHT SYMMETRY,GOBP,GO:0007368,0,0,0,0,0,0,0,0,1.361713116,1.323916405,0,1.753865583,0,0
GLIAL CELL PROLIFERATION,GOBP,GO:0014009,0,0,0,0,0,0,0,0,2.328646819,0,0,1.334237291,2.725695903,0
POSITIVE REGULATION OF TRANSPORTER ACTIVITY,GOBP,GO:0032411,0,0,0,0,0,0,0,0,6.801318524,0,0,7.275513253,1.486120317,0
CELLULAR COMPONENT DISASSEMBLY,GOBP,GO:0022411,0,0,0,0,0,0,0,0,2.799386064,0,2.429642034,2.42936073,0,0
HETEROCHROMATIN ORGANIZATION,GOBP,GO:0070828,0,0,3.077757894,0,0,0,0,0,0,2.713792815,0,0,1.33040537,0
REGULATION OF TUMOR NECROSIS FACTOR-MEDIATED SIGNALING PATHWAY,GOBP,GO:0010803,0,0,0,0,0,0,0,0,6.058635998,0,0,10.76135286,3.361349048,0
REGULATION OF CHOLESTEROL STORAGE,GOBP,GO:0010885,0,0,1.55407634,0,0,0,0,0,1.330834323,0,0,0,1.587994202,0
REGULATION OF NUCLEOTIDE CATABOLIC PROCESS,GOBP,GO:0030811,0,0,0,0,0,0,0,0,0,0,0,3.614350236,2.035490722,1.731000182
REGULATION OF COENZYME METABOLIC PROCESS,GOBP,GO:0051196,0,0,0,0,0,0,0,0,0,0,0,4.05108651,2.421894121,1.485014032
REGULATION OF INTRACELLULAR STEROID HORMONE RECEPTOR SIGNALING PATHWAY,GOBP,GO:0033143,1.706589583,0,0,0,0,0,0,0,0,1.567326719,0,0,1.323570525,0
POST-TRANSLATIONAL PROTEIN MODIFICATION,GOBP,GO:0043687,0,0,0,0,0,0,0,0,0,0,0,2.775107682,3.232269379,1.736938743
REGULATION OF OXIDATIVE STRESS-INDUCED NEURON DEATH,GOBP,GO:1903203,0,0,0,0,0,0,0,0,1.826606089,0,1.478880437,2.170008383,0,0
NEGATIVE REGULATION OF TRANSFORMING GROWTH FACTOR BETA PRODUCTION,GOBP,GO:0071635,0,0,0,0,0,0,0,0,1.565635328,1.454708473,0,0,0,1.684237518
ENTRY INTO HOST CELL,GOBP,GO:0030260,0,0,0,0,0,0,0,0,2.567108398,0,0,3.325328205,3.467438796,0
APOPTOTIC MITOCHONDRIAL CHANGES,GOBP,GO:0008637,0,0,0,0,0,0,0,0,0,0,2.315389922,0,1.901438507,1.647537402
NEGATIVE REGULATION OF CELLULAR RESPONSE TO OXIDATIVE STRESS,GOBP,GO:1900408,0,0,0,0,0,0,0,0,1.814733894,0,0,3.462188316,1.492571719,0
REGULATION OF CARDIAC MUSCLE CELL ACTION POTENTIAL,GOBP,GO:0098901,0,0,0,0,0,0,1.411091138,0,2.353407777,0,0,3.876908081,0,0
MUSCLE HYPERTROPHY,GOBP,GO:0014896,0,0,0,0,0,0,0,0,0,0,1.328135432,4.101313403,0,1.770896447
MESODERMAL CELL DIFFERENTIATION,GOBP,GO:0048333,0,0,0,1.961313483,0,0,0,0,1.826606089,0,0,1.484515645,0,0
RENAL SYSTEM VASCULATURE DEVELOPMENT,GOBP,GO:0061437,0,0,0,0,0,0,0,0,0,0,2.84475614,4.557186118,2.50279171,0
REGULATION OF TRANSFORMING GROWTH FACTOR BETA PRODUCTION,GOBP,GO:0071634,0,0,0,0,0,0,0,0,0,0,0,1.312512226,1.62880929,3.100947941
POSITIVE REGULATION OF POSITIVE CHEMOTAXIS,GOBP,GO:0050927,0,0,0,0,0,0,0,0,0,0,1.44604961,5.618451392,3.224531401,0
BEHAVIORAL DEFENSE RESPONSE,GOBP,GO:0002209,0,0,0,0,0,2.066310024,0,0,0,0,1.384616016,1.31905424,0,0
VENTRICULAR CARDIAC MUSCLE CELL ACTION POTENTIAL,GOBP,GO:0086005,0,0,0,1.516465005,0,0,2.113559146,0,0,0,0,1.681028441,0,0
REGULATION OF MHC CLASS II BIOSYNTHETIC PROCESS,GOBP,GO:0045346,0,0,0,0,0,0,0,0,0,0,1.813433192,2.109285884,2.725695903,0
REGULATION OF CELL KILLING,GOBP,GO:0031341,0,0,3.048349597,0,0,0,0,0,1.539946783,0,0,0,0,2.399876949
FACE DEVELOPMENT,GOBP,GO:0060324,0,0,0,0,0,0,0,0,2.581569084,0,4.871150523,3.462188316,0,0
PROTEIN-DNA COMPLEX SUBUNIT ORGANIZATION,GOBP,GO:0071824,0,0,0,0,0,0,0,0,0,0,0,1.310706121,1.363486426,3.327281907
MAINTENANCE OF LOCATION IN CELL,GOBP,GO:0051651,0,0,0,0,0,0,0,0,2.040374997,0,0,2.497997905,0,2.3407209
ENTRY INTO CELL OF OTHER ORGANISM INVOLVED IN SYMBIOTIC INTERACTION,GOBP,GO:0051806,0,0,0,0,0,0,0,0,2.567108398,0,0,3.325328205,3.467438796,0
POSITIVE REGULATION OF NEUROTRANSMITTER TRANSPORT,GOBP,GO:0051590,0,1.993679558,0,0,0,0,0,0,1.393015086,0,0,4.282521549,0,0
REGULATION OF CORTICOSTEROID HORMONE SECRETION,GOBP,GO:2000846,0,0,0,0,0,0,0,0,0,1.359694994,0,1.407908195,1.641491093,0
MITOTIC G2/M TRANSITION CHECKPOINT,GOBP,GO:0044818,0,0,0,0,0,0,0,0,1.393015086,0,0,1.488880364,0,1.553612916
CALCIUM-MEDIATED SIGNALING,GOBP,GO:0019722,0,0,0,0,0,0,0,0,2.432317108,0,0,4.992728821,0,2.286851122
IN UTERO EMBRYONIC DEVELOPMENT,GOBP,GO:0001701,0,0,0,0,0,0,0,0,3.867002514,0,2.16467083,5.866752728,0,0
POSITIVE REGULATION OF CHEMOKINE (C-X-C MOTIF) LIGAND 2 PRODUCTION,GOBP,GO:2000343,0,0,0,0,0,1.575907951,0,0,1.719477409,1.532623908,0,0,0,0
PROTEIN TRIMERIZATION,GOBP,GO:0070206,0,0,0,1.837361986,0,0,0,0,0,1.306600232,0,0,0,2.428782596
GLYCEROPHOSPHOLIPID METABOLIC PROCESS,GOBP,GO:0006650,0,0,0,0,0,0,0,0,1.538117123,0,0,3.7002161,1.802694059,0
LABYRINTHINE LAYER MORPHOGENESIS,GOBP,GO:0060713,0,0,0,0,0,0,0,0,2.047986017,0,0,3.414748814,2.437279696,0
LAMELLIPODIUM ORGANIZATION,GOBP,GO:0097581,0,0,0,0,0,0,0,0,1.883791242,0,0,2.920511501,0,1.351129784
REGULATION OF CELL JUNCTION ASSEMBLY,GOBP,GO:1901888,0,0,0,0,0,0,0,0,10.04697507,0,0,5.933297298,1.62251489,0
METANEPHRIC NEPHRON TUBULE DEVELOPMENT,GOBP,GO:0072234,0,0,0,0,0,0,0,0,0,1.389026331,0,1.488262043,1.699137862,0
NEURAL CREST CELL MIGRATION,GOBP,GO:0001755,0,0,0,0,0,0,0,0,2.994488085,1.963825406,1.590625195,0,0,0
NEGATIVE REGULATION OF CELLULAR CARBOHYDRATE METABOLIC PROCESS,GOBP,GO:0010677,0,0,0,0,0,0,0,0,0,0,2.726655069,2.783513227,0,2.02890229
KIDNEY VASCULATURE DEVELOPMENT,GOBP,GO:0061440,0,0,0,0,0,0,0,0,0,0,2.84475614,4.557186118,2.50279171,0
REGULATION OF DENDRITE MORPHOGENESIS,GOBP,GO:0048814,0,0,0,0,0,0,0,0,1.875244518,0,1.652570143,12.64707368,0,0
SEMINIFEROUS TUBULE DEVELOPMENT,GOBP,GO:0072520,1.30243574,0,0,0,2.417510564,0,0,0,0,0,0,0,1.829614852,0
POSITIVE REGULATION OF TELOMERE MAINTENANCE VIA TELOMERASE,GOBP,GO:0032212,0,0,0,0,0,0,0,0,2.207242456,0,0,1.537628858,0,2.431372652
DEFENSE RESPONSE TO PROTOZOAN,GOBP,GO:0042832,0,0,1.589917124,0,0,0,0,0,0,0,1.513284186,2.252942902,0,0
POSITIVE REGULATION OF PROTEIN KINASE A SIGNALING,GOBP,GO:0010739,0,0,0,0,0,0,0,0,0,0,5.20614594,1.781912388,3.23093349,0
POSITIVE REGULATION OF AUTOPHAGY OF MITOCHONDRION IN RESPONSE TO MITOCHONDRIAL DEPOLARIZATION,GOBP,GO:1904925,0,0,0,0,0,0,0,0,0,0,0,1.67367871,3.111096056,1.684237518
MITOTIC DNA DAMAGE CHECKPOINT,GOBP,GO:0044773,0,0,0,0,0,1.458195173,0,0,0,0,0,2.808803873,0,1.418573087
NEGATIVE REGULATION OF DIGESTIVE SYSTEM PROCESS,GOBP,GO:0060457,0,0,1.463514389,0,0,0,0,1.831340282,0,1.306600232,0,0,0,0
REGULATION OF PROTEIN KINASE A SIGNALING,GOBP,GO:0010738,0,0,0,0,0,0,0,0,0,0,6.624289821,4.92341071,3.368619366,0
SOMATIC STEM CELL POPULATION MAINTENANCE,GOBP,GO:0035019,0,0,0,0,0,0,0,0,1.573654327,0,0,3.554768299,2.038937335,0
NEGATIVE REGULATION OF RESPONSE TO OXIDATIVE STRESS,GOBP,GO:1902883,0,0,0,0,0,0,0,0,1.749510973,0,0,3.310905473,1.443241864,0
REGULATION OF PROTEIN ACETYLATION,GOBP,GO:1901983,0,1.536705252,0,0,0,0,0,0,0,0,0,1.439232056,0,2.562767297
ACTIN FILAMENT ORGANIZATION,GOBP,GO:0007015,0,3.200890224,0,0,0,0,0,0,5.1875957,0,0,4.732977433,0,0
ORGANELLE LOCALIZATION BY MEMBRANE TETHERING,GOBP,GO:0140056,0,0,0,0,0,1.938112726,0,0,0,0,0,2.185069778,1.74053138,0
REGULATION OF RESPONSE TO DNA DAMAGE STIMULUS,GOBP,GO:2001020,0,0,0,0,1.469014331,0,0,0,0,0,0,6.352981416,0,3.488983907
NEURAL TUBE CLOSURE,GOBP,GO:0001843,0,0,0,0,0,0,0,0,3.373594745,0,2.513985625,2.027308754,0,0
MONOVALENT INORGANIC CATION TRANSPORT,GOBP,GO:0015672,0,0,0,0,0,0,0,0,0,0,0,3.187479733,2.242709004,1.327413029
REGULATION OF REGULATED SECRETORY PATHWAY,GOBP,GO:1903305,0,0,0,0,0,0,0,0,2.29364114,0,1.49166025,2.415656271,0,0
NEGATIVE REGULATION OF T CELL PROLIFERATION,GOBP,GO:0042130,0,0,0,0,0,0,0,0,2.467348489,0,0,2.140721212,0,2.783622021
CELLULAR RESPONSE TO LOW-DENSITY LIPOPROTEIN PARTICLE STIMULUS,GOBP,GO:0071404,0,0,1.942981915,0,0,0,0,0,3.17312437,0,0,0,1.447627887,0
PROTEIN MODIFICATION BY SMALL PROTEIN REMOVAL,GOBP,GO:0070646,0,0,0,0,0,0,0,0,0,0,0,8.173934042,2.580002144,3.296445357
MEIOTIC CELL CYCLE PROCESS,GOBP,GO:1903046,0,0,0,0,0,0,0,0,0,1.876494087,0,1.919515468,0,4.772852178
PROTEIN DESTABILIZATION,GOBP,GO:0031648,1.860941395,0,0,0,0,0,0,0,1.781665501,0,0,2.718255666,0,0
ACTIN FILAMENT BUNDLE ASSEMBLY,GOBP,GO:0051017,0,1.566683075,0,0,0,1.40979952,0,0,0,0,0,1.57520727,0,0
NEGATIVE REGULATION OF INTRINSIC APOPTOTIC SIGNALING PATHWAY,GOBP,GO:2001243,0,0,0,0,0,0,0,0,0,0,2.299948599,4.757894318,2.468144348,0
REGULATION OF FATTY ACID BIOSYNTHETIC PROCESS,GOBP,GO:0042304,0,0,0,0,0,0,0,0,1.749510973,2.082352574,0,0,0,3.667014564
REGULATION OF HAIR CYCLE,GOBP,GO:0042634,0,0,0,0,0,0,0,0,0,2.536249315,0,0,2.063427153,1.855537309
MITOTIC DNA INTEGRITY CHECKPOINT,GOBP,GO:0044774,0,0,0,0,0,1.34395794,0,0,0,0,0,2.650212953,0,1.355845777
ENDOCRINE PANCREAS DEVELOPMENT,GOBP,GO:0031018,0,0,0,0,1.785423941,0,0,0,2.118220494,0,0,4.177787391,0,0
REGULATION OF NECROTIC CELL DEATH,GOBP,GO:0010939,0,0,0,0,0,0,0,0,2.035040794,0,0,3.979732706,0,1.461230652
REGULATION OF FATTY ACID OXIDATION,GOBP,GO:0046320,0,0,0,0,0,0,0,0,2.254172667,0,0,5.40019085,2.7578275,0
OTIC VESICLE DEVELOPMENT,GOBP,GO:0071599,0,0,0,2.279289982,2.278026202,0,0,0,1.499311585,0,0,0,0,0
DIGESTIVE TRACT MORPHOGENESIS,GOBP,GO:0048546,0,0,0,1.954082035,2.531032791,0,0,0,2.626222015,0,0,0,0,0
NEGATIVE REGULATION OF COLLAGEN BIOSYNTHETIC PROCESS,GOBP,GO:0032966,0,0,0,0,0,0,0,0,1.719477409,0,0,1.903461208,1.986901638,0
NEGATIVE REGULATION OF ANTIGEN RECEPTOR-MEDIATED SIGNALING PATHWAY,GOBP,GO:0050858,0,0,0,0,0,0,0,0,1.604769041,0,0,4.101313403,0,4.844442345
PROTEIN KINASE C-ACTIVATING G PROTEIN-COUPLED RECEPTOR SIGNALING PATHWAY,GOBP,GO:0007205,0,0,0,0,0,0,0,0,4.676102346,0,0,8.550155857,3.093147392,0
NUCLEOBASE-CONTAINING SMALL MOLECULE BIOSYNTHETIC PROCESS,GOBP,GO:0034404,0,0,0,0,0,0,0,0,0,0,0,2.140740949,1.900115377,3.696281114
POSITIVE REGULATION OF OLIGODENDROCYTE DIFFERENTIATION,GOBP,GO:0048714,0,1.981940737,0,0,0,0,0,0,0,0,0,2.340847098,1.33040537,0
NUCLEUS ORGANIZATION,GOBP,GO:0006997,0,0,0,0,0,0,0,0,1.872150937,0,0,3.84748655,2.109627759,0
POSITIVE REGULATION OF NEUROLOGICAL SYSTEM PROCESS,GOBP,GO:0031646,0,0,0,0,0,0,0,0,1.446057874,0,0,2.069488118,2.68925926,0
NEGATIVE REGULATION OF CENTROSOME CYCLE,GOBP,GO:0046606,0,0,0,0,0,0,0,0,1.330834323,1.332297866,0,0,1.587994202,0
"POSITIVE REGULATION OF CD4-POSITIVE, ALPHA-BETA T CELL ACTIVATION",GOBP,GO:2000516,0,0,0,0,0,0,0,0,3.861289283,0,0,1.397190904,0,1.491004269
MESONEPHRIC TUBULE MORPHOGENESIS,GOBP,GO:0072171,0,0,0,2.811521115,0,0,0,0,0,0,0,1.444939292,2.161047094,0
NEGATIVE REGULATION OF PROTEIN COMPLEX ASSEMBLY,GOBP,GO:0031333,1.384352415,0,0,0,0,0,0,0,2.452941341,0,0,8.666150701,0,0
TETRAPYRROLE CATABOLIC PROCESS,GOBP,GO:0033015,0,0,0,0,0,0,0,0,0,1.332297866,0,1.334237291,1.587994202,0
REGULATION OF TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER IN RESPONSE TO HYPOXIA,GOBP,GO:0061418,0,0,0,0,0,0,0,0,0,0,0,3.26021927,2.860935892,2.476050653
REGULATION OF AXON EXTENSION INVOLVED IN AXON GUIDANCE,GOBP,GO:0048841,0,0,0,0,0,0,0,0,3.220280863,2.390222047,0,1.641576905,0,0
NEGATIVE REGULATION OF CELLULAR RESPONSE TO VASCULAR ENDOTHELIAL GROWTH FACTOR STIMULUS,GOBP,GO:1902548,0,4.342125728,0,0,0,0,0,0,2.599342458,0,1.99027258,0,0,0
DNA UNWINDING INVOLVED IN DNA REPLICATION,GOBP,GO:0006268,0,0,0,0,0,0,0,0,1.330834323,0,1.813433192,0,0,1.446087672
EMBRYONIC CAMERA-TYPE EYE DEVELOPMENT,GOBP,GO:0031076,0,0,0,1.399880255,0,0,1.309261375,0,0,0,0,2.207422243,0,0
REGULATION OF ESTABLISHMENT OR MAINTENANCE OF CELL POLARITY,GOBP,GO:0032878,0,0,0,0,0,0,0,0,1.778049608,0,0,4.619915318,0,1.94790915
REGULATION OF INTERLEUKIN-10 PRODUCTION,GOBP,GO:0032653,0,0,0,0,0,0,0,0,2.827445121,0,0,1.57520727,0,4.022865276
NEURAL TUBE FORMATION,GOBP,GO:0001841,0,0,0,0,0,0,0,0,2.947530566,0,2.241243525,2.455568672,0,0
COVALENT CHROMATIN MODIFICATION,GOBP,GO:0016569,0,0,0,0,0,0,0,0,0,1.656842081,1.527426273,0,2.308122894,0
CELLULAR RESPONSE TO CORTICOSTEROID STIMULUS,GOBP,GO:0071384,0,0,0,0,0,0,0,0,0,0,1.452310585,5.790782177,6.395501074,0
CARDIAC CONDUCTION,GOBP,GO:0061337,0,0,0,0,0,0,1.763457146,0,0,0,0,2.297981126,1.308341273,0
POSITIVE REGULATION OF OSTEOCLAST DIFFERENTIATION,GOBP,GO:0045672,0,0,0,0,0,0,0,0,2.577141991,0,1.384616016,0,0,1.855537309
NEGATIVE REGULATION OF CHROMOSOME ORGANIZATION,GOBP,GO:2001251,0,0,0,0,0,0,0,0,0,0,2.236264689,1.333321733,0,3.604559004
MICROTUBULE CYTOSKELETON ORGANIZATION INVOLVED IN MITOSIS,GOBP,GO:1902850,0,0,0,0,0,0,0,0,0,1.751690583,0,3.230960602,1.5517849,0
"CD4-POSITIVE, ALPHA-BETA T CELL DIFFERENTIATION INVOLVED IN IMMUNE RESPONSE",GOBP,GO:0002294,0,0,0,0,0,0,0,0,1.565930623,0,1.301536136,1.755141499,0,0
LYMPHOCYTE COSTIMULATION,GOBP,GO:0031294,0,0,0,0,0,0,0,0,2.160763105,0,1.548959404,2.729824295,0,0
POSITIVE REGULATION OF PHOSPHOPROTEIN PHOSPHATASE ACTIVITY,GOBP,GO:0032516,0,0,0,0,1.515330854,0,0,0,0,0,0,2.434241958,1.367339758,0
POSITIVE REGULATION OF AMINE TRANSPORT,GOBP,GO:0051954,0,0,0,0,0,0,0,1.589916165,3.156708414,0,0,1.588480665,0,0
REGULATION OF AMINE TRANSPORT,GOBP,GO:0051952,0,0,0,0,0,0,0,0,3.134113667,0,0,1.790494092,2.539967773,0
HEXOSE METABOLIC PROCESS,GOBP,GO:0019318,0,0,0,0,0,0,0,0,1.30370857,0,0,0,4.506523682,2.077880635
NEGATIVE REGULATION OF RESPONSE TO REACTIVE OXYGEN SPECIES,GOBP,GO:1901032,0,0,0,0,0,0,0,0,2.411789313,1.359694994,0,1.407908195,0,0
PYRUVATE METABOLIC PROCESS,GOBP,GO:0006090,0,0,0,0,0,0,0,0,0,0,0,1.667832287,3.179578841,2.783622021
REGULATION OF UBIQUITIN-PROTEIN TRANSFERASE ACTIVITY,GOBP,GO:0051438,0,0,0,0,0,0,0,0,1.495267682,0,1.548959404,2.162978457,0,0
RESPONSE TO ARSENIC-CONTAINING SUBSTANCE,GOBP,GO:0046685,0,0,0,0,0,0,0,0,0,0,2.264662739,2.421117703,2.915777043,0
NEURON PROJECTION EXTENSION,GOBP,GO:1990138,0,0,0,0,0,0,0,0,2.787961435,1.888926262,0,5.212508307,0,0
INACTIVATION OF MAPK ACTIVITY,GOBP,GO:0000188,0,0,0,0,0,0,0,0,2.639309195,0,0,2.017305529,0,2.871528397
REGULATION OF GLYCOGEN BIOSYNTHETIC PROCESS,GOBP,GO:0005979,0,1.344444212,0,0,0,0,0,0,0,0,1.301536136,3.167088161,0,0
REGULATION OF COLLATERAL SPROUTING,GOBP,GO:0048670,0,0,0,0,0,0,0,0,0,1.306600232,0,2.010600597,1.538125501,0
REGULATION OF T CELL TOLERANCE INDUCTION,GOBP,GO:0002664,0,0,0,0,0,0,0,0,2.706227789,1.454708473,0,0,0,1.684237518
POSITIVE REGULATION OF RNA POLYMERASE II TRANSCRIPTIONAL PREINITIATION COMPLEX ASSEMBLY,GOBP,GO:0045899,0,0,0,0,0,0,0,0,0,0,0,1.903461208,3.364130908,3.139497865
NEGATIVE REGULATION OF OSTEOBLAST DIFFERENTIATION,GOBP,GO:0045668,0,0,0,0,0,0,0,0,8.602933706,0,0,2.718255666,1.467572052,0
INTRACELLULAR PH REDUCTION,GOBP,GO:0051452,0,0,0,0,0,0,0,0,0,0,0,8.01432787,3.980716406,4.514792079
MEMBRANE LIPID METABOLIC PROCESS,GOBP,GO:0006643,0,0,0,0,0,0,0,0,1.379279659,0,0,0,1.301766988,1.333189295
GLYCEROPHOSPHOLIPID BIOSYNTHETIC PROCESS,GOBP,GO:0046474,0,0,0,0,0,0,0,0,1.315328367,0,0,3.090107534,1.658927525,0
CORPUS CALLOSUM DEVELOPMENT,GOBP,GO:0022038,0,0,0,0,0,0,0,0,2.411789313,0,0,1.407908195,1.641491093,0
REGULATION OF PRESYNAPTIC CYTOSOLIC CALCIUM ION CONCENTRATION,GOBP,GO:0099509,0,1.324428467,0,0,0,0,0,0,1.330834323,0,0,2.109285884,0,0
JAK-STAT CASCADE INVOLVED IN GROWTH HORMONE SIGNALING PATHWAY,GOBP,GO:0060397,0,0,0,1.359463379,0,0,0,0,0,0,0,1.488262043,1.699137862,0
POSITIVE REGULATION OF CALCINEURIN-MEDIATED SIGNALING,GOBP,GO:0106058,0,0,0,0,0,0,0,0,1.382635075,1.359694994,0,2.216368372,0,0
NAD METABOLIC PROCESS,GOBP,GO:0019674,0,0,0,0,0,0,0,0,0,0,0,1.565284576,4.841026292,1.984381988
SPHINGOLIPID METABOLIC PROCESS,GOBP,GO:0006665,0,0,0,0,0,0,0,0,2.026614868,0,0,0,1.355082947,1.463456065
POSITIVE REGULATION OF DNA BIOSYNTHETIC PROCESS,GOBP,GO:2000573,0,0,0,0,0,0,0,0,3.156817798,0,0,3.17439111,0,4.384600874
REGULATION OF GLOMERULAR MESANGIAL CELL PROLIFERATION,GOBP,GO:0072124,0,0,0,0,0,0,0,0,0,0,0,4.135253385,1.986901638,1.839772705
INOSITOL PHOSPHATE BIOSYNTHETIC PROCESS,GOBP,GO:0032958,0,0,1.881511644,0,0,0,0,0,2.599342458,0,0,4.633255321,0,0
NEGATIVE REGULATION OF VASCULAR ENDOTHELIAL GROWTH FACTOR SIGNALING PATHWAY,GOBP,GO:1900747,0,2.795301227,0,0,0,0,0,0,2.824100603,0,2.135155965,0,0,0
RESPONSE TO MINERALOCORTICOID,GOBP,GO:0051385,0,0,0,0,0,0,0,0,3.220280863,0,2.185333415,2.275577519,0,0
REGULATION OF SKELETAL MUSCLE CELL PROLIFERATION,GOBP,GO:0014857,0,0,0,0,0,0,0,0,0,0,0,2.461375853,5.954613111,1.617071875
NEGATIVE REGULATION OF INCLUSION BODY ASSEMBLY,GOBP,GO:0090084,0,0,0,0,0,0,0,0,4.182722148,0,0,2.761208765,3.23093349,0
NEGATIVE REGULATION OF OSSIFICATION,GOBP,GO:0030279,0,0,0,0,0,0,0,0,7.180901863,0,0,2.860862431,1.526894314,0
CARTILAGE DEVELOPMENT,GOBP,GO:0051216,0,0,0,0,0,0,0,0,0,0,2.061429298,7.487038775,3.248709747,0
REGULATION OF RELEASE OF CYTOCHROME C FROM MITOCHONDRIA,GOBP,GO:0090199,0,0,0,0,0,0,0,0,0,0,2.763990113,2.220560512,1.518272624,0
MITOCHONDRIAL MEMBRANE ORGANIZATION,GOBP,GO:0007006,0,0,0,0,0,0,0,0,1.95861539,0,0,3.57559267,0,1.797436598
REGULATION OF DENDRITE DEVELOPMENT,GOBP,GO:0050773,0,0,0,0,0,0,0,0,2.783078221,0,2.034109503,14.37897201,0,0
REGULATION OF SUBSTRATE ADHESION-DEPENDENT CELL SPREADING,GOBP,GO:1900024,0,0,0,0,0,1.40979952,0,0,4.50110728,0,0,3.219986526,0,0
MAINTENANCE OF CELL POLARITY,GOBP,GO:0030011,0,0,0,0,0,1.513052958,0,0,0,0,0,1.919240122,0,2.355665391
POSITIVE REGULATION OF KERATINOCYTE MIGRATION,GOBP,GO:0051549,0,0,0,0,0,0,0,0,1.565635328,1.454708473,0,1.67367871,0,0
NEGATIVE REGULATION OF STRIATED MUSCLE CELL APOPTOTIC PROCESS,GOBP,GO:0010664,0,0,0,0,0,0,0,1.445250972,0,0,0,2.434241958,2.375397884,0
POSITIVE REGULATION OF HAIR CYCLE,GOBP,GO:0042635,0,0,0,0,0,0,0,0,0,1.420578836,0,1.576391191,1.761577446,0
NEGATIVE REGULATION OF CILIUM ASSEMBLY,GOBP,GO:1902018,0,0,0,0,0,0,0,0,1.438579844,0,0,2.333175047,1.699137862,0
REGULATION OF ALPHA-BETA T CELL PROLIFERATION,GOBP,GO:0046640,0,0,0,0,0,0,0,0,2.207242456,0,0,1.537628858,0,1.586570234
NEGATIVE REGULATION OF GENE SILENCING BY MIRNA,GOBP,GO:0060965,0,0,0,0,0,0,0,0,2.111565225,0,0,2.640039895,0,2.287089894
NEGATIVE REGULATION OF HYDROGEN PEROXIDE-INDUCED CELL DEATH,GOBP,GO:1903206,0,0,0,0,0,0,0,0,2.411789313,1.359694994,0,1.407908195,0,0
TRACHEA MORPHOGENESIS,GOBP,GO:0060439,0,0,0,0,0,0,0,0,0,1.532623908,0,2.939472078,1.986901638,0
RESPONSE TO TYPE I INTERFERON,GOBP,GO:0034340,0,0,0,0,0,0,0,0,0,0,0,2.341310607,1.526894314,1.8865657
POSITIVE REGULATION OF CELL MIGRATION INVOLVED IN SPROUTING ANGIOGENESIS,GOBP,GO:0090050,0,0,0,0,0,0,0,0,0,0,2.778014518,9.146744179,1.406340997,0
MAINTENANCE OF PROTEIN LOCATION IN NUCLEUS,GOBP,GO:0051457,0,0,0,0,0,1.752770943,0,0,1.877628924,0,0,1.546137387,0,0
CELLULAR RESPONSE TO CAMP,GOBP,GO:0071320,0,0,1.36413298,0,0,0,2.896508197,0,0,0,0,2.261676905,0,0
NEGATIVE REGULATION OF INTERLEUKIN-12 PRODUCTION,GOBP,GO:0032695,0,0,0,0,0,0,0,0,2.251352048,0,0,0,1.538125501,1.397079872
DEVELOPMENT OF PRIMARY SEXUAL CHARACTERISTICS,GOBP,GO:0045137,0,0,0,0,0,2.058768636,0,0,0,0,0,2.563034946,4.519708234,0
VERY LONG-CHAIN FATTY ACID METABOLIC PROCESS,GOBP,GO:0000038,0,0,0,0,0,0,0,0,2.207242456,0,0,2.142073217,0,1.586570234
BICELLULAR TIGHT JUNCTION ASSEMBLY,GOBP,GO:0070830,0,0,0,0,0,1.790155344,0,0,0,0,1.489758267,3.158031973,0,0
HISTONE MODIFICATION,GOBP,GO:0016570,0,0,0,0,0,0,0,0,0,1.672604048,0,1.335083081,2.3482905,0
NEGATIVE REGULATION OF ATPASE ACTIVITY,GOBP,GO:0032780,0,0,0,0,0,0,0,0,0,0,1.762484448,0,1.538125501,1.397079872
