,,,ChangCTLvsMDD_ACC_Female,ChangCTLvsMDD_ACC_Male,ChangCTLvsMDD_DLPFC_Female,ChangCTLvsMDD_DLPFC_Male,female_ancg_dge,female_dlpfc_dge,female_nacc_dge,male_ancg_dge,male_dlpfc_dge,male_nAcc_dge
LEUKOCYTE CHEMOTAXIS,GOBP,GO:0030595,0,0,0,0,0,0,1.30795677,0,0,0
REGULATION OF MONOCYTE CHEMOTAXIS,GOBP,GO:0090025,0,0,0,0,0,1.894989206,0,0,0,0
PROTEIN METHYLATION,GOBP,GO:0006479,0,0,0,0,0,0,0,1.683305167,0,0
RECOMBINATIONAL REPAIR,GOBP,GO:0000725,0,0,0,0,0,0,0,1.701487904,0,0
NEGATIVE REGULATION OF CARBOHYDRATE METABOLIC PROCESS,GOBP,GO:0045912,0,0,0,0,0,0,0,1.376583929,0,0
BRANCHED-CHAIN AMINO ACID METABOLIC PROCESS,GOBP,GO:0009081,0,0,0,0,0,0,0,0,3.032962073,0
BIOMINERAL TISSUE DEVELOPMENT,GOBP,GO:0031214,1.718093964,0,0,0,0,0,0,0,0,0
ACETYLCHOLINE RECEPTOR SIGNALING PATHWAY,GOBP,GO:0095500,0,0,1.326045637,0,0,0,0,0,0,0
REGULATION OF SMOOTH MUSCLE CELL PROLIFERATION,GOBP,GO:0048660,0,0,0,0,0,1.305506099,0,0,0,0
REGULATION OF CELL MATURATION,GOBP,GO:1903429,0,0,0,0,0,2.029974299,0,0,0,0
NEGATIVE REGULATION OF EPITHELIAL CELL PROLIFERATION,GOBP,GO:0050680,0,0,0,0,0,2.123141976,0,0,0,0
NEGATIVE REGULATION OF INSULIN RECEPTOR SIGNALING PATHWAY,GOBP,GO:0046627,0,0,0,0,1.394463541,0,0,0,0,0
POSITIVE REGULATION OF ADAPTIVE IMMUNE RESPONSE,GOBP,GO:0002821,1.336691698,0,0,0,0,0,0,0,0,0
CALCIUM IMPORT INTO THE MITOCHONDRION,GOBP,GO:0036444,0,0,1.874509845,0,0,0,0,0,0,0
REGULATION OF TRANSPORTER ACTIVITY,GOBP,GO:0032409,0,0,1.81786476,0,0,0,0,0,0,0
NCRNA CATABOLIC PROCESS,GOBP,GO:0034661,1.378693273,0,0,0,0,0,0,0,0,0
ADENYLATE CYCLASE-MODULATING G PROTEIN-COUPLED RECEPTOR SIGNALING PATHWAY,GOBP,GO:0007188,1.737022467,0,0,0,0,0,0,0,0,0
CELLULAR COPPER ION HOMEOSTASIS,GOBP,GO:0006878,0,0,0,0,0,0,0,0,1.546167178,0
NEGATIVE REGULATION OF TISSUE REMODELING,GOBP,GO:0034104,0,0,0,0,0,0,2.213589174,0,0,0
OPIOID RECEPTOR SIGNALING PATHWAY,GOBP,GO:0038003,0,0,0,0,0,2.756376888,0,0,0,0
MEIOTIC CHROMOSOME SEPARATION,GOBP,GO:0051307,0,0,0,0,0,0,2.171793248,0,0,0
REGULATION OF INTRINSIC APOPTOTIC SIGNALING PATHWAY BY P53 CLASS MEDIATOR,GOBP,GO:1902253,0,0,0,0,0,0,0,1.480518415,0,0
NOTCH SIGNALING PATHWAY,GOBP,GO:0007219,0,0,0,0,0,0,1.522965831,0,0,0
REGULATION OF CELL DIVISION,GOBP,GO:0051302,0,0,0,0,0,3.973010673,0,0,0,0
NEGATIVE REGULATION OF UBIQUITIN PROTEIN LIGASE ACTIVITY,GOBP,GO:1904667,0,0,0,0,0,0,0,0,0,2.628439786
"POSITIVE REGULATION OF SYNAPTIC TRANSMISSION, GLUTAMATERGIC",GOBP,GO:0051968,0,0,0,0,0,0,0,0,1.799049537,0
TELOMERE MAINTENANCE IN RESPONSE TO DNA DAMAGE,GOBP,GO:0043247,1.634201983,0,0,0,0,0,0,0,0,0
NEGATIVE REGULATION OF CELL JUNCTION ASSEMBLY,GOBP,GO:1901889,0,0,0,1.893735141,0,0,0,0,0,0
NEGATIVE REGULATION OF CELLULAR PROTEIN LOCALIZATION,GOBP,GO:1903828,0,0,2.483153529,0,0,0,0,0,0,0
MITOTIC SISTER CHROMATID SEGREGATION,GOBP,GO:0000070,0,0,0,0,0,3.8412308,0,0,0,0
STAT CASCADE,GOBP,GO:0097696,0,0,1.630931092,0,0,0,0,0,0,0
DEVELOPMENTAL GROWTH INVOLVED IN MORPHOGENESIS,GOBP,GO:0060560,0,0,0,2.171977466,0,0,0,0,0,0
REGULATION OF CHROMOSOME SEPARATION,GOBP,GO:1905818,0,0,0,0,0,1.977316657,0,0,0,0
INTERLEUKIN-7-MEDIATED SIGNALING PATHWAY,GOBP,GO:0038111,0,0,0,0,1.894864537,0,0,0,0,0
REGULATION OF GAMMA-DELTA T CELL ACTIVATION,GOBP,GO:0046643,0,1.524763654,0,0,0,0,0,0,0,0
PROTEIN STABILIZATION,GOBP,GO:0050821,0,0,3.085359166,0,0,0,0,0,0,0
MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX ASSEMBLY,GOBP,GO:0033108,0,0,0,0,0,0,0,0,0,4.633292337
PLASMA MEMBRANE BOUNDED CELL PROJECTION ASSEMBLY,GOBP,GO:0120031,0,0,0,0,0,0,0,1.350490544,0,0
MODIFICATION BY HOST OF SYMBIONT MORPHOLOGY OR PHYSIOLOGY,GOBP,GO:0051851,0,0,0,0,0,0,0,1.679713529,0,0
RIBONUCLEOSIDE MONOPHOSPHATE CATABOLIC PROCESS,GOBP,GO:0009158,0,0,0,0,0,0,0,1.831191699,0,0
NEGATIVE REGULATION OF VIRAL TRANSCRIPTION,GOBP,GO:0032897,0,0,0,0,0,0,1.958707769,0,0,0
ACYLGLYCEROL METABOLIC PROCESS,GOBP,GO:0006639,0,0,0,0,0,3.325702199,0,0,0,0
MALE MEIOTIC NUCLEAR DIVISION,GOBP,GO:0007140,0,0,0,0,0,0,0,1.376583929,0,0
RESPONSE TO RETINOIC ACID,GOBP,GO:0032526,1.895109451,0,0,0,0,0,0,0,0,0
REGULATION OF ANIMAL ORGAN MORPHOGENESIS,GOBP,GO:2000027,0,0,0,0,0,0,2.51851174,0,0,0
TETRAPYRROLE METABOLIC PROCESS,GOBP,GO:0033013,0,0,1.341205772,0,0,0,0,0,0,0
EMBRYONIC CAMERA-TYPE EYE FORMATION,GOBP,GO:0060900,1.553987426,0,0,0,0,0,0,0,0,0
REGULATION OF RELEASE OF SEQUESTERED CALCIUM ION INTO CYTOSOL,GOBP,GO:0051279,0,0,0,0,1.521954305,0,0,0,0,0
CATECHOLAMINE METABOLIC PROCESS,GOBP,GO:0006584,0,0,0,0,0,0,0,0,1.339705639,0
REGULATION OF ACTIN FILAMENT ORGANIZATION,GOBP,GO:0110053,0,1.717903404,0,0,0,0,0,0,0,0
RNA STABILIZATION,GOBP,GO:0043489,0,0,0,0,0,0,1.350570645,0,0,0
FEMALE GENITALIA DEVELOPMENT,GOBP,GO:0030540,0,0,1.420581801,0,0,0,0,0,0,0
RETINA VASCULATURE DEVELOPMENT IN CAMERA-TYPE EYE,GOBP,GO:0061298,0,0,0,0,0,0,0,1.959568805,0,0
URETERIC BUD DEVELOPMENT,GOBP,GO:0001657,1.471034602,0,0,0,0,0,0,0,0,0
NEGATIVE REGULATION OF VIRAL PROCESS,GOBP,GO:0048525,0,0,0,0,0,0,1.614678299,0,0,0
REGULATION OF HEPATOCYTE PROLIFERATION,GOBP,GO:2000345,0,0,0,0,0,0,0,0,0,1.333328668
"REGULATION OF PHAGOCYTOSIS, ENGULFMENT",GOBP,GO:0060099,0,0,0,0,0,0,0,0,0,1.333328668
INTERNAL PROTEIN AMINO ACID ACETYLATION,GOBP,GO:0006475,0,0,0,2.066883838,0,0,0,0,0,0
PROTEIN KINASE A SIGNALING,GOBP,GO:0010737,0,0,0,0,0,0,0,0,1.546167178,0
CHONDROITIN SULFATE CATABOLIC PROCESS,GOBP,GO:0030207,0,0,0,0,0,0,0,0,0,1.388876933
INTERMEDIATE FILAMENT-BASED PROCESS,GOBP,GO:0045103,1.512950311,0,0,0,0,0,0,0,0,0
CELLULAR RESPONSE TO PURINE-CONTAINING COMPOUND,GOBP,GO:0071415,0,1.387365162,0,0,0,0,0,0,0,0
REGULATION OF ALPHA-BETA T CELL ACTIVATION,GOBP,GO:0046634,0,0,0,0,0,0,0,0,1.479898865,0
C21-STEROID HORMONE METABOLIC PROCESS,GOBP,GO:0008207,0,0,0,0,0,0,0,0,1.799049537,0
LIMB BUD FORMATION,GOBP,GO:0060174,0,1.524763654,0,0,0,0,0,0,0,0
CARBOXYLIC ACID CATABOLIC PROCESS,GOBP,GO:0046395,0,0,0,0,0,0,0,0,1.692709407,0
TRNA 5'-END PROCESSING,GOBP,GO:0099116,0,0,0,0,0,0,0,0,0,2.252688471
SENSORY PERCEPTION OF MECHANICAL STIMULUS,GOBP,GO:0050954,0,0,0,0,0,3.134673523,0,0,0,0
SOMATIC RECOMBINATION OF IMMUNOGLOBULIN GENES INVOLVED IN IMMUNE RESPONSE,GOBP,GO:0002204,0,0,0,0,0,0,0,0,1.443917037,0
MOTOR BEHAVIOR,GOBP,GO:0061744,0,0,0,1.545675784,0,0,0,0,0,0
ORGANIC ACID CATABOLIC PROCESS,GOBP,GO:0016054,0,0,0,0,0,0,0,0,1.692709407,0
REGULATION OF HEART MORPHOGENESIS,GOBP,GO:2000826,0,0,0,0,0,0,1.6134307,0,0,0
PROSTATE GLANDULAR ACINUS DEVELOPMENT,GOBP,GO:0060525,0,0,1.997332498,0,0,0,0,0,0,0
REGULATION OF EXOCYTOSIS,GOBP,GO:0017157,0,1.781798208,0,0,0,0,0,0,0,0
CELLULAR RESPONSE TO MOLECULE OF BACTERIAL ORIGIN,GOBP,GO:0071219,0,0,0,0,0,0,0,1.634881749,0,0
EPITHELIAL CELL FATE COMMITMENT,GOBP,GO:0072148,0,0,0,1.484598306,0,0,0,0,0,0
"REGULATION OF SYNAPTIC TRANSMISSION, GABAERGIC",GOBP,GO:0032228,0,1.37445083,0,0,0,0,0,0,0,0
LIPOPOLYSACCHARIDE-MEDIATED SIGNALING PATHWAY,GOBP,GO:0031663,0,0,0,0,0,0,0,0,1.61984151,0
ISOTYPE SWITCHING,GOBP,GO:0045190,0,0,0,0,0,0,0,0,1.443917037,0
I-KAPPAB KINASE/NF-KAPPAB SIGNALING,GOBP,GO:0007249,0,0,0,0,0,0,0,0,0,1.678374641
CELLULAR MONOVALENT INORGANIC CATION HOMEOSTASIS,GOBP,GO:0030004,0,0,2.088247684,0,0,0,0,0,0,0
GANGLIOSIDE BIOSYNTHETIC PROCESS,GOBP,GO:0001574,0,0,0,0,0,0,0,0,1.546167178,0
CARDIAC CELL DEVELOPMENT,GOBP,GO:0055006,0,0,1.703347723,0,0,0,0,0,0,0
FEMALE GONAD DEVELOPMENT,GOBP,GO:0008585,0,0,0,2.035622243,0,0,0,0,0,0
CYTOPLASMIC SEQUESTERING OF TRANSCRIPTION FACTOR,GOBP,GO:0042994,0,0,0,1.428309154,0,0,0,0,0,0
POSITIVE REGULATION OF SIGNAL TRANSDUCTION BY P53 CLASS MEDIATOR,GOBP,GO:1901798,0,0,0,0,0,0,0,0,0,2.605329625
RESPONSE TO LEUCINE,GOBP,GO:0043201,0,0,2.586202063,0,0,0,0,0,0,0
POSITIVE REGULATION OF EPITHELIAL TO MESENCHYMAL TRANSITION,GOBP,GO:0010718,0,0,0,1.740016144,0,0,0,0,0,0
REGULATION OF T CELL MIGRATION,GOBP,GO:2000404,1.698836589,0,0,0,0,0,0,0,0,0
NEGATIVE REGULATION OF STRESS-ACTIVATED PROTEIN KINASE SIGNALING CASCADE,GOBP,GO:0070303,0,0,0,0,0,1.459361876,0,0,0,0
NCRNA 5'-END PROCESSING,GOBP,GO:0034471,0,0,0,0,0,0,0,0,0,1.914335861
INOSITOL METABOLIC PROCESS,GOBP,GO:0006020,0,0,0,0,0,0,0,0,0,2.745852372
POSITIVE REGULATION OF HEART GROWTH,GOBP,GO:0060421,0,0,0,0,0,0,1.766686035,0,0,0
NEGATIVE REGULATION OF PROTEIN ACETYLATION,GOBP,GO:1901984,0,0,1.724223933,0,0,0,0,0,0,0
OLIGODENDROCYTE DIFFERENTIATION,GOBP,GO:0048709,1.685297243,0,0,0,0,0,0,0,0,0
CELL COMMUNICATION INVOLVED IN CARDIAC CONDUCTION,GOBP,GO:0086065,0,0,0,0,0,1.476885596,0,0,0,0
FOLIC ACID TRANSPORT,GOBP,GO:0015884,1.634201983,0,0,0,0,0,0,0,0,0
AGGREPHAGY,GOBP,GO:0035973,0,0,1.326045637,0,0,0,0,0,0,0
CHONDROCYTE DIFFERENTIATION,GOBP,GO:0002062,0,0,0,0,0,0,0,0,1.52354743,0
RRNA CATABOLIC PROCESS,GOBP,GO:0016075,0,0,0,0,0,0,0,1.893360002,0,0
NUCLEAR PORE COMPLEX ASSEMBLY,GOBP,GO:0051292,0,0,0,0,0,0,0,0,0,1.668171877
EXTRINSIC APOPTOTIC SIGNALING PATHWAY VIA DEATH DOMAIN RECEPTORS,GOBP,GO:0008625,0,0,3.907637599,0,0,0,0,0,0,0
TETRAHYDROFOLATE METABOLIC PROCESS,GOBP,GO:0046653,0,0,0,0,0,0,0,0,1.397802534,0
"PROTEIN LOCALIZATION TO CHROMOSOME, TELOMERIC REGION",GOBP,GO:0070198,0,0,0,0,0,0,0,0,0,2.335375253
NEGATIVE REGULATION OF TORC1 SIGNALING,GOBP,GO:1904262,0,0,2.230020988,0,0,0,0,0,0,0
MATURATION OF 5.8S RRNA,GOBP,GO:0000460,0,0,0,0,0,0,0,2.681545515,0,0
NEGATIVE REGULATION OF WNT SIGNALING PATHWAY,GOBP,GO:0030178,0,0,1.94537013,0,0,0,0,0,0,0
POSTSYNAPTIC CYTOSKELETON ORGANIZATION,GOBP,GO:0099188,1.416082676,0,0,0,0,0,0,0,0,0
PURINE NUCLEOSIDE CATABOLIC PROCESS,GOBP,GO:0006152,0,0,0,0,0,0,0,1.417734802,0,0
REGULATION OF NOREPINEPHRINE SECRETION,GOBP,GO:0014061,0,0,0,0,2.096313637,0,0,0,0,0
NEUROTROPHIN SIGNALING PATHWAY,GOBP,GO:0038179,0,0,1.374417947,0,0,0,0,0,0,0
PHOTOTRANSDUCTION,GOBP,GO:0007602,0,0,0,0,0,0,0,0,1.389195064,0
PEPTIDYL-METHIONINE MODIFICATION,GOBP,GO:0018206,1.416082676,0,0,0,0,0,0,0,0,0
REGULATION OF RYANODINE-SENSITIVE CALCIUM-RELEASE CHANNEL ACTIVITY,GOBP,GO:0060314,0,0,0,0,1.634028749,0,0,0,0,0
ANION HOMEOSTASIS,GOBP,GO:0055081,0,0,0,2.624393431,0,0,0,0,0,0
EMBRYONIC HINDLIMB MORPHOGENESIS,GOBP,GO:0035116,0,1.529267464,0,0,0,0,0,0,0,0
REGULATION OF INTERFERON-BETA PRODUCTION,GOBP,GO:0032648,0,0,0,0,1.904077856,0,0,0,0,0
CHLORIDE ION HOMEOSTASIS,GOBP,GO:0055064,0,0,0,1.428309154,0,0,0,0,0,0
RUFFLE ASSEMBLY,GOBP,GO:0097178,0,0,1.577084143,0,0,0,0,0,0,0
NEGATIVE REGULATION OF T CELL APOPTOTIC PROCESS,GOBP,GO:0070233,0,0,0,0,1.851691647,0,0,0,0,0
MEIOTIC CELL CYCLE,GOBP,GO:0051321,0,0,0,0,0,3.182835812,0,0,0,0
EMBRYONIC CRANIAL SKELETON MORPHOGENESIS,GOBP,GO:0048701,0,0,0,0,0,0,0,0,1.339705639,0
NEGATIVE REGULATION OF RECEPTOR BINDING,GOBP,GO:1900121,1.416082676,0,0,0,0,0,0,0,0,0
INTRASPECIES INTERACTION BETWEEN ORGANISMS,GOBP,GO:0051703,0,1.408549401,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF PROTEIN EXPORT FROM NUCLEUS,GOBP,GO:0046827,0,0,1.870486737,0,0,0,0,0,0,0
PRE-MRNA CLEAVAGE REQUIRED FOR POLYADENYLATION,GOBP,GO:0098789,0,1.387365162,0,0,0,0,0,0,0,0
2'-DEOXYRIBONUCLEOTIDE METABOLIC PROCESS,GOBP,GO:0009394,0,0,0,0,0,0,0,0,1.497294108,0
NUCLEOTIDE TRANSPORT,GOBP,GO:0006862,0,0,0,0,1.491294567,0,0,0,0,0
CATECHOL-CONTAINING COMPOUND METABOLIC PROCESS,GOBP,GO:0009712,0,0,0,0,0,0,0,0,1.339705639,0
CELLULAR RESPONSE TO NERVE GROWTH FACTOR STIMULUS,GOBP,GO:1990090,0,0,1.590195034,0,0,0,0,0,0,0
NEGATIVE REGULATION OF PROTEIN IMPORT,GOBP,GO:1904590,1.481727122,0,0,0,0,0,0,0,0,0
SEGMENT SPECIFICATION,GOBP,GO:0007379,0,0,0,1.327645269,0,0,0,0,0,0
"CD4-POSITIVE, ALPHA-BETA T CELL DIFFERENTIATION",GOBP,GO:0043367,0,0,0,0,0,0,1.675324374,0,0,0
IRES-DEPENDENT VIRAL TRANSLATIONAL INITIATION,GOBP,GO:0075522,1.553987426,0,0,0,0,0,0,0,0,0
RECEPTOR INTERNALIZATION,GOBP,GO:0031623,0,0,1.461632203,0,0,0,0,0,0,0
INNER EAR RECEPTOR CELL DIFFERENTIATION,GOBP,GO:0060113,0,0,0,0,0,0,0,0,1.809899173,0
RESPONSE TO COCAINE,GOBP,GO:0042220,1.633328689,0,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF NATURAL KILLER CELL MEDIATED CYTOTOXICITY,GOBP,GO:0045954,0,1.617703746,0,0,0,0,0,0,0,0
L-GLUTAMATE IMPORT,GOBP,GO:0051938,1.553987426,0,0,0,0,0,0,0,0,0
PEPTIDYL-GLUTAMIC ACID MODIFICATION,GOBP,GO:0018200,0,0,0,0,1.491294567,0,0,0,0,0
WALKING BEHAVIOR,GOBP,GO:0090659,0,1.617703746,0,0,0,0,0,0,0,0
PURINE RIBONUCLEOTIDE CATABOLIC PROCESS,GOBP,GO:0009154,0,0,0,0,0,0,0,1.726758193,0,0
NEGATIVE REGULATION OF CHROMOSOME SEPARATION,GOBP,GO:1905819,0,0,0,0,0,3.00140368,0,0,0,0
POSITIVE REGULATION OF CYTOSOLIC CALCIUM ION CONCENTRATION,GOBP,GO:0007204,1.423897224,0,0,0,0,0,0,0,0,0
RESPONSE TO AXON INJURY,GOBP,GO:0048678,0,0,2.808901002,0,0,0,0,0,0,0
PHOSPHATE ION TRANSMEMBRANE TRANSPORT,GOBP,GO:0035435,0,0,0,1.376165376,0,0,0,0,0,0
REGULATION OF ACTIN CYTOSKELETON ORGANIZATION,GOBP,GO:0032956,0,1.788170694,0,0,0,0,0,0,0,0
NEGATIVE REGULATION OF EPIDERMAL GROWTH FACTOR RECEPTOR SIGNALING PATHWAY,GOBP,GO:0042059,0,1.521375653,0,0,0,0,0,0,0,0
SPHINGOSINE METABOLIC PROCESS,GOBP,GO:0006670,0,0,0,0,0,0,0,0,1.313792885,0
UTERUS DEVELOPMENT,GOBP,GO:0060065,2.054524828,0,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF ALPHA-BETA T CELL ACTIVATION,GOBP,GO:0046635,0,0,0,0,0,0,0,0,1.566427579,0
PROTEIN-DNA COMPLEX DISASSEMBLY,GOBP,GO:0032986,0,0,0,0,0,0,2.213589174,0,0,0
RNA DESTABILIZATION,GOBP,GO:0050779,0,0,0,0,0,0,0,2.625951595,0,0
CENTRAL NERVOUS SYSTEM PROJECTION NEURON AXONOGENESIS,GOBP,GO:0021952,0,2.419265629,0,0,0,0,0,0,0,0
REGULATION OF DNA BIOSYNTHETIC PROCESS,GOBP,GO:2000278,0,0,2.147984784,0,0,0,0,0,0,0
REGULATION OF DEVELOPMENTAL PIGMENTATION,GOBP,GO:0048070,0,1.327561213,0,0,0,0,0,0,0,0
ACTIVATION OF MAPK ACTIVITY,GOBP,GO:0000187,0,2.246004347,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF MEMBRANE PERMEABILITY,GOBP,GO:1905710,0,0,1.47872978,0,0,0,0,0,0,0
POSITIVE REGULATION OF GLIAL CELL MIGRATION,GOBP,GO:1903977,0,0,1.874509845,0,0,0,0,0,0,0
REGULATION OF POLYSACCHARIDE METABOLIC PROCESS,GOBP,GO:0032881,1.633328689,0,0,0,0,0,0,0,0,0
CARDIAC CHAMBER FORMATION,GOBP,GO:0003207,0,1.524763654,0,0,0,0,0,0,0,0
MYELOID CELL HOMEOSTASIS,GOBP,GO:0002262,0,0,0,0,0,0,0,0,0,1.376885458
INTESTINAL ABSORPTION,GOBP,GO:0050892,0,0,0,0,0,0,0,1.327097371,0,0
INNER EAR MORPHOGENESIS,GOBP,GO:0042472,0,0,0,0,0,1.702179,0,0,0,0
NEGATIVE REGULATION OF PROTEIN IMPORT INTO NUCLEUS,GOBP,GO:0042308,1.481727122,0,0,0,0,0,0,0,0,0
POST-GOLGI VESICLE-MEDIATED TRANSPORT,GOBP,GO:0006892,0,0,3.623857068,0,0,0,0,0,0,0
FATTY ACID DERIVATIVE BIOSYNTHETIC PROCESS,GOBP,GO:1901570,0,0,0,0,0,0,0,0,2.866291342,0
POSITIVE REGULATION OF LEUKOCYTE MEDIATED CYTOTOXICITY,GOBP,GO:0001912,0,0,1.43915344,0,0,0,0,0,0,0
FEEDING BEHAVIOR,GOBP,GO:0007631,0,1.371566964,0,0,0,0,0,0,0,0
EMBRYONIC HEART TUBE MORPHOGENESIS,GOBP,GO:0003143,1.609563983,0,0,0,0,0,0,0,0,0
REGULATION OF RRNA PROCESSING,GOBP,GO:2000232,0,0,0,0,0,0,0,0,0,1.333328668
NEGATIVE REGULATION OF ALPHA-BETA T CELL ACTIVATION,GOBP,GO:0046636,0,0,0,0,0,0,0,0,1.441623085,0
CELLULAR RESPONSE TO NITRIC OXIDE,GOBP,GO:0071732,0,0,0,1.428309154,0,0,0,0,0,0
ASPARTATE FAMILY AMINO ACID CATABOLIC PROCESS,GOBP,GO:0009068,0,0,0,0,0,0,0,1.66504351,0,0
REGULATION OF CELL PROLIFERATION INVOLVED IN KIDNEY DEVELOPMENT,GOBP,GO:1901722,0,0,0,1.484598306,0,0,0,0,0,0
GOLGI TO VACUOLE TRANSPORT,GOBP,GO:0006896,0,0,3.737099538,0,0,0,0,0,0,0
POSITIVE REGULATION OF CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY INVOLVED IN APOPTOTIC PROCESS,GOBP,GO:0043280,0,0,0,0,0,0,0,0,1.457079197,0
CELLULAR RESPONSE TO PROSTAGLANDIN E STIMULUS,GOBP,GO:0071380,0,0,2.33846152,0,0,0,0,0,0,0
POSITIVE REGULATION OF INTERLEUKIN-6 PRODUCTION,GOBP,GO:0032755,0,0,0,0,1.345192323,0,0,0,0,0
REGULATION OF AXONOGENESIS,GOBP,GO:0050770,0,1.505331769,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER IN RESPONSE TO STRESS,GOBP,GO:0036003,0,0,0,0,0,0,0,1.61541563,0,0
RESPONSE TO TRANSFORMING GROWTH FACTOR BETA,GOBP,GO:0071559,1.787710256,0,0,0,0,0,0,0,0,0
VIRAL TRANSLATION,GOBP,GO:0019081,0,1.944954328,0,0,0,0,0,0,0,0
ANAPHASE-PROMOTING COMPLEX-DEPENDENT CATABOLIC PROCESS,GOBP,GO:0031145,0,0,0,0,0,0,0,0,0,1.317373439
REGULATION OF HOMOTYPIC CELL-CELL ADHESION,GOBP,GO:0034110,1.569726338,0,0,0,0,0,0,0,0,0
NEGATIVE REGULATION OF CHEMOKINE PRODUCTION,GOBP,GO:0032682,0,0,0,0,0,0,2.094229236,0,0,0
"G PROTEIN-COUPLED RECEPTOR SIGNALING PATHWAY, COUPLED TO CYCLIC NUCLEOTIDE SECOND MESSENGER",GOBP,GO:0007187,1.710833603,0,0,0,0,0,0,0,0,0
EMBRYONIC EYE MORPHOGENESIS,GOBP,GO:0048048,1.378693273,0,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF MACROAUTOPHAGY,GOBP,GO:0016239,0,0,2.31737616,0,0,0,0,0,0,0
CELLULAR RESPONSE TO GLUCOSE STIMULUS,GOBP,GO:0071333,0,0,2.405057733,0,0,0,0,0,0,0
RETINA DEVELOPMENT IN CAMERA-TYPE EYE,GOBP,GO:0060041,2.793457684,0,0,0,0,0,0,0,0,0
FEMALE SEX DIFFERENTIATION,GOBP,GO:0046660,0,0,0,1.66488051,0,0,0,0,0,0
POSITIVE REGULATION OF IMMUNE EFFECTOR PROCESS,GOBP,GO:0002699,1.622886666,0,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF MYELOID LEUKOCYTE DIFFERENTIATION,GOBP,GO:0002763,0,0,0,0,0,0,0,1.71584867,0,0
"CD4-POSITIVE, ALPHA-BETA T CELL ACTIVATION",GOBP,GO:0035710,0,0,0,0,0,0,1.593894778,0,0,0
PRODUCTION OF MOLECULAR MEDIATOR OF IMMUNE RESPONSE,GOBP,GO:0002440,0,1.951972508,0,0,0,0,0,0,0,0
REGULATION OF PEPTIDASE ACTIVITY,GOBP,GO:0052547,0,0,0,0,0,0,2.313315136,0,0,0
PROSTANOID BIOSYNTHETIC PROCESS,GOBP,GO:0046457,0,0,0,0,0,0,0,0,1.313792885,0
KYNURENINE METABOLIC PROCESS,GOBP,GO:0070189,0,0,0,0,0,0,0,1.489421267,0,0
BRANCHING INVOLVED IN SALIVARY GLAND MORPHOGENESIS,GOBP,GO:0060445,1.300756072,0,0,0,0,0,0,0,0,0
PURINE RIBONUCLEOSIDE CATABOLIC PROCESS,GOBP,GO:0046130,0,0,0,0,0,0,0,1.417734802,0,0
NEGATIVE REGULATION OF DNA BIOSYNTHETIC PROCESS,GOBP,GO:2000279,0,0,0,0,0,0,0,0,1.469032382,0
CELL FATE COMMITMENT,GOBP,GO:0045165,1.660057846,0,0,0,0,0,0,0,0,0
REGULATION OF PROTEIN IMPORT,GOBP,GO:1904589,0,0,1.666113424,0,0,0,0,0,0,0
CELL PROJECTION ASSEMBLY,GOBP,GO:0030031,0,0,0,0,0,0,0,1.464495153,0,0
CYTOPLASMIC MICROTUBULE ORGANIZATION,GOBP,GO:0031122,0,0,2.642570388,0,0,0,0,0,0,0
REGULATION OF LIPID LOCALIZATION,GOBP,GO:1905952,2.257742546,0,0,0,0,0,0,0,0,0
REGULATION OF TOLL-LIKE RECEPTOR SIGNALING PATHWAY,GOBP,GO:0034121,0,0,0,0,0,0,0,1.935887853,0,0
L-SERINE METABOLIC PROCESS,GOBP,GO:0006563,0,0,0,0,0,0,0,0,1.732605042,0
REGULATION OF OXIDATIVE PHOSPHORYLATION,GOBP,GO:0002082,0,0,0,0,0,0,0,0,0,1.534628474
NEGATIVE REGULATION OF RHO PROTEIN SIGNAL TRANSDUCTION,GOBP,GO:0035024,0,0,0,2.056328079,0,0,0,0,0,0
STRIATED MUSCLE CELL DEVELOPMENT,GOBP,GO:0055002,1.567701284,0,0,0,0,0,0,0,0,0
NUCLEOSIDE BISPHOSPHATE BIOSYNTHETIC PROCESS,GOBP,GO:0033866,0,0,0,0,0,0,0,0,1.657602123,0
NEGATIVE REGULATION OF SUPRAMOLECULAR FIBER ORGANIZATION,GOBP,GO:1902904,0,0,0,0,0,0,0,0,1.307800867,0
CALCIUM-DEPENDENT CELL-CELL ADHESION VIA PLASMA MEMBRANE CELL ADHESION MOLECULES,GOBP,GO:0016339,1.768361309,0,0,0,0,0,0,0,0,0
ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN VIA MHC CLASS II,GOBP,GO:0002495,0,1.375071026,0,0,0,0,0,0,0,0
XENOBIOTIC METABOLIC PROCESS,GOBP,GO:0006805,0,0,0,0,0,0,2.252219187,0,0,0
