,,,ChangCTLvsMDD_ACC_Female,ChangCTLvsMDD_ACC_Male,ChangCTLvsMDD_DLPFC_Female,ChangCTLvsMDD_DLPFC_Male,Female Anterior Insula,Female BA8/9,Female BA11,Female BA25,Female Nac,Female Subic,Male Anterior Insula,Male BA8/9,Male BA11,Male BA25,Male Nac,Male Subic,female_ancg,female_dlpfc,female_nacc,male_ancg,male_dlpfc,male_nacc
CELLULAR RESPONSE TO CAMP,GOBP,GO:0071320,0,0,0,0,0,0,0,0,0,0,0,0,0,1.366461956,0,0,0,0,0,1.83351762,1.535110987,0
REGULATION OF TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY,GOBP,GO:0060338,0,0,0,0,1.866154067,0,0,0,0,0,0,3.113027251,0,0,0,0,0,0,0,0,0,0
STEM CELL DEVELOPMENT,GOBP,GO:0048864,3.385371522,0,3.366816837,2.244004731,0,0,0,0,0,0,0,0,0,1.802104447,0,0,0,0,0,0,0,4.96496375
FIBRINOLYSIS,GOBP,GO:0042730,0,1.532918083,0,0,0,0,0,0,0,0,0,0,0,0,0,2.463760102,0,0,0,0,1.629389858,0
REGULATION OF ACTIN FILAMENT-BASED PROCESS,GOBP,GO:0032970,7.319418859,9.394952074,14.42845777,2.432278254,0,1.547977213,2.518438157,3.589470451,3.535285707,1.823707599,1.349844213,3.410191177,2.944568906,10.77479032,1.711772218,4.880594123,0,1.809771513,1.883562819,0,3.860670123,4.222075522
ATRIOVENTRICULAR VALVE DEVELOPMENT,GOBP,GO:0003171,0,0,0,0,0,0,0,1.90245983,0,0,0,0,0,1.580879247,0,0,0,0,0,0,0,2.337661791
NEGATIVE REGULATION OF INTERLEUKIN-12 PRODUCTION,GOBP,GO:0032695,2.578465228,0,0,0,0,0,0,0,0,0,0,0,0,3.151887204,0,0,0,0,0,2.497936593,0,0
HISTONE DEACETYLATION,GOBP,GO:0016575,0,0,0,0,0,0,0,0,0,0,0,0,0,2.097429567,0,0,0,0,0,0,0,1.559680393
PROTEIN QUALITY CONTROL FOR MISFOLDED OR INCOMPLETELY SYNTHESIZED PROTEINS,GOBP,GO:0006515,1.954402016,2.146152828,0,2.158102433,0,0,1.454721914,0,0,0,0,0,0,1.496330601,0,0,0,0,0,0,0,0
DEVELOPMENT OF PRIMARY SEXUAL CHARACTERISTICS,GOBP,GO:0045137,4.918621636,1.520730109,1.472100447,2.536842584,0,3.138517319,0,0,0,0,0,0,0,2.625161739,0,0,0,0,0,2.351899192,1.769706672,2.750110694
EPHRIN RECEPTOR SIGNALING PATHWAY,GOBP,GO:0048013,2.521923447,4.550970983,19.58554676,7.524187267,0,2.10354312,0,0,0,1.489062038,2.060698353,3.464865405,0,7.639040828,0,2.142796669,0,0,0,2.382745827,1.647557434,0
VERY LONG-CHAIN FATTY ACID METABOLIC PROCESS,GOBP,GO:0000038,0,0,0,0,0,0,1.301060744,0,0,1.504148274,0,2.2195779,0,0,0,1.967330666,0,0,0,0,0,0
NEGATIVE REGULATION OF COAGULATION,GOBP,GO:0050819,0,5.019120251,0,0,1.593464209,0,0,0,0,0,0,0,0,0,0,1.601641791,0,0,0,0,3.271561098,1.494534733
REGULATION OF PHOSPHOLIPID METABOLIC PROCESS,GOBP,GO:1903725,4.55451136,3.411977909,7.291938585,0,0,2.751341564,4.201105164,2.465590375,3.983973722,1.379227946,0,0,2.175268148,3.923907604,0,0,1.37302936,0,1.348033623,5.160842864,0,1.457376492
DETECTION OF EXTERNAL BIOTIC STIMULUS,GOBP,GO:0098581,0,0,0,0,0,0,0,1.9697262,0,3.020748999,0,0,0,0,0,0,0,2.172808211,0,0,0,0
MACROMOLECULE DEACYLATION,GOBP,GO:0098732,0,0,0,0,0,0,0,0,0,0,0,0,0,1.562652132,0,0,0,0,0,0,0,0
LUNG EPITHELIUM DEVELOPMENT,GOBP,GO:0060428,0,0,0,0,0,0,0,0,0,0,0,0,0,1.496330601,0,0,0,0,0,0,1.316898229,0
REGULATION OF MRNA 3'-END PROCESSING,GOBP,GO:0031440,0,0,2.137650638,0,0,0,0,0,0,0,2.073244845,2.4603275,1.685620202,4.256181758,0,0,0,0,0,0,0,0
REGULATION OF HISTONE ACETYLATION,GOBP,GO:0035065,0,0,0,0,0,0,1.649181784,0,0,0,0,0,0,5.886954598,0,0,0,0,0,0,0,4.00916782
DOSAGE COMPENSATION BY INACTIVATION OF X CHROMOSOME,GOBP,GO:0009048,0,0,2.112831376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PHOSPHATIDYLINOSITOL PHOSPHORYLATION,GOBP,GO:0046854,3.433790887,1.325037875,3.752501257,0,1.534890065,0,0,2.205079026,2.964765472,5.156972202,0,4.435436088,0,8.946896451,1.667300867,1.543014992,0,0,2.947762562,6.154097728,1.454311865,8.507782964
BICELLULAR TIGHT JUNCTION ASSEMBLY,GOBP,GO:0070830,0,0,0,0,0,0,1.629431277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF PROTEIN POLYUBIQUITINATION,GOBP,GO:1902916,0,0,1.36819058,0,0,0,3.622000949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEGATIVE REGULATION OF MICROTUBULE DEPOLYMERIZATION,GOBP,GO:0007026,0,0,2.318113033,0,0,0,0,0,0,0,0,1.518085824,3.004581737,1.626197136,0,0,0,0,0,0,0,0
HEMATOPOIETIC PROGENITOR CELL DIFFERENTIATION,GOBP,GO:0002244,3.556050028,0,2.271827241,0,1.307717556,2.274031396,1.331160797,2.802257508,2.503658321,0,0,2.013032697,1.646811708,3.21632414,0,1.315594689,0,0,0,0,0,0
REGULATION OF CALCIUM ION IMPORT,GOBP,GO:0090279,0,3.510071095,1.532504282,4.599169236,0,2.169900334,2.005571666,0,0,0,0,0,0,0,0,0,1.331923789,0,2.001888419,2.185014434,0,3.676607572
REGULATION OF CARDIAC MUSCLE CONTRACTION,GOBP,GO:0055117,0,0,2.303458197,0,0,0,0,1.8789011,0,0,0,2.85587533,0,1.955623547,0,0,0,2.165603903,1.526537954,0,2.5897067,0
HYPEROSMOTIC RESPONSE,GOBP,GO:0006972,0,0,0,0,0,0,0,0,1.886051756,0,0,0,0,0,0,0,0,0,0,0,1.509476595,0
AXON ENSHEATHMENT IN CENTRAL NERVOUS SYSTEM,GOBP,GO:0032291,2.370153327,0,0,0,0,1.84320228,0,0,1.966415769,0,0,0,0,0,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF NUCLEOCYTOPLASMIC TRANSPORT,GOBP,GO:0046824,2.45648011,1.957293817,8.984199242,1.972025191,0,2.618408044,5.443473545,0,0,0,0,1.533563905,0,1.745363009,0,0,0,0,0,2.335982604,3.930438522,2.080321771
HISTONE MODIFICATION,GOBP,GO:0016570,0,0,3.337123046,1.914362728,0,0,2.835180714,0,0,0,0,0,1.631488794,4.953107666,0,0,0,1.437610737,0,0,0,2.136825243
PARTURITION,GOBP,GO:0007567,0,0,1.303594325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF RESPONSE TO OXIDATIVE STRESS,GOBP,GO:1902884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.737045057
GLYCEROL-3-PHOSPHATE METABOLIC PROCESS,GOBP,GO:0006072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.886564955,0,0
ENDOTHELIAL CELL MIGRATION,GOBP,GO:0043542,2.281240327,0,1.957457118,0,0,0,0,3.006250426,0,0,2.347109592,0,3.718091216,4.38252034,1.536764813,1.414318242,2.648117503,0,1.617261201,0,0,1.9396765
RESPONSE TO PROSTAGLANDIN E,GOBP,GO:0034695,0,0,1.594286982,1.386718776,0,1.72665762,0,0,0,0,0,0,0,3.657011179,2.429495707,0,0,0,0,0,0,0
NEGATIVE REGULATION OF TRANSPORT,GOBP,GO:0051051,6.25079114,4.010351031,5.195923517,3.559758554,1.882946879,4.503407347,3.854474414,1.708806225,1.325079191,3.210117706,0,0,2.229932945,7.203290119,0,3.171717715,3.189258231,0,0,3.748401359,9.216623756,5.607845032
REGULATION OF CELLULAR RESPONSE TO DRUG,GOBP,GO:2001038,0,3.622912636,1.646075412,1.422259565,2.328468655,0,2.810773974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.093135938
NEGATIVE REGULATION OF ACTIN FILAMENT BUNDLE ASSEMBLY,GOBP,GO:0032232,1.871845075,0,2.030108401,0,0,0,0,0,0,0,0,0,0,2.201831126,0,0,0,0,0,0,0,0
T CELL APOPTOTIC PROCESS,GOBP,GO:0070231,1.54361515,1.674637886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.96259727
REGULATION OF REGULATORY T CELL DIFFERENTIATION,GOBP,GO:0045589,0,1.984091004,0,0,0,0,0,0,0,1.553038343,0,0,0,0,0,0,0,0,0,0,0,0
REFLEX,GOBP,GO:0060004,1.654252205,0,0,0,0,2.147216627,0,0,2.272610243,0,0,0,0,1.333459546,0,0,0,0,0,0,0,0
REGULATION OF DOPAMINE SECRETION,GOBP,GO:0014059,0,0,0,0,0,0,1.301060744,0,0,0,0,0,0,0,0,0,1.499557785,0,0,0,0,0
POSITIVE REGULATION OF CELL CYCLE PROCESS,GOBP,GO:0090068,2.495674586,2.576129392,5.745466635,5.509562997,0,1.312960404,0,1.943794612,0,0,0,3.492632256,1.579582278,3.058859454,0,1.363265752,3.892010307,7.564822053,0,3.191690814,1.544939647,0
CARDIAC MUSCLE CELL PROLIFERATION,GOBP,GO:0060038,0,0,2.401321715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NEGATIVE REGULATION OF KERATINOCYTE PROLIFERATION,GOBP,GO:0010839,0,0,1.303594325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.705617217,0,1.662977104,0,0
RESPONSE TO GAMMA RADIATION,GOBP,GO:0010332,1.928966225,1.403881772,3.980480183,0,1.593464209,0,2.625087197,0,0,2.032255074,0,0,0,5.232598827,0,0,0,2.589942871,1.808644751,1.83351762,1.535110987,2.296073987
ORGANIC ACID TRANSPORT,GOBP,GO:0015849,0,0,0,0,0,1.749088792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.514148242,0
EPITHELIAL CELL DEVELOPMENT,GOBP,GO:0002064,2.873244071,2.803291383,1.393407223,2.833128567,0,0,0,0,3.100945417,0,0,1.744176925,0,0,0,0,3.011699108,0,5.282676828,5.095610505,6.061943838,0
NEGATIVE REGULATION OF ATPASE ACTIVITY,GOBP,GO:0032780,0,0,1.956331949,0,0,1.980576908,0,0,2.104878075,0,0,0,0,2.091600851,0,0,0,0,0,1.441816039,2.928401975,0
PROTEIN-CONTAINING COMPLEX LOCALIZATION,GOBP,GO:0031503,0,0,1.305379635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGULATION OF ORGAN GROWTH,GOBP,GO:0046620,3.196929598,2.096647747,4.514249508,4.508206193,2.102922314,0,2.636987199,3.567233273,1.495634832,0,0,1.813919248,0,2.828511609,0,0,3.12181591,0,1.408706969,3.030119019,3.938507191,3.007306257
LEUKOCYTE ACTIVATION INVOLVED IN INFLAMMATORY RESPONSE,GOBP,GO:0002269,3.96714728,0,0,0,0,0,0,4.431413244,0,2.777181658,0,0,0,0,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF GLYCOPROTEIN BIOSYNTHETIC PROCESS,GOBP,GO:0010560,0,0,1.646075412,1.422259565,0,0,0,0,0,0,0,1.622312272,0,0,0,0,0,2.24720041,0,0,0,0
NEGATIVE REGULATION OF PROTEIN TRANSPORT,GOBP,GO:0051224,1.945561981,2.956931126,2.373645407,1.676273437,0,3.222800119,2.910597288,1.425988391,0,3.498425097,0,0,1.913743159,3.300466047,0,1.818387227,0,0,0,2.401625379,4.907222068,3.167384337
VENTRICULAR SYSTEM DEVELOPMENT,GOBP,GO:0021591,0,0,0,0,0,1.594872884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.31690125
CARBOHYDRATE PHOSPHORYLATION,GOBP,GO:0046835,3.204838206,0,0,1.352893129,0,0,2.69883772,4.769673972,3.057574971,0,0,1.551206586,0,0,0,0,0,0,0,2.0642364,2.482942558,1.410261768
REGULATION OF EXTRINSIC APOPTOTIC SIGNALING PATHWAY IN ABSENCE OF LIGAND,GOBP,GO:2001239,0,1.692289651,2.259815096,1.703661126,0,2.199172907,0,2.610521161,0,0,0,0,0,2.469437192,0,0,0,0,0,1.438733875,3.801319931,2.704175509
NEGATIVE REGULATION OF AXON EXTENSION,GOBP,GO:0030517,1.457618782,0,0,0,0,3.188782797,0,0,2.320231768,0,0,0,1.340814244,0,0,0,0,0,0,1.386334686,0,0
POSITIVE REGULATION OF HEAT GENERATION,GOBP,GO:0031652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.886564955,3.653365114,0
POSITIVE REGULATION OF LEUKOCYTE CHEMOTAXIS,GOBP,GO:0002690,7.422615107,1.389740367,2.400380242,0,0,0,0,0,0,1.414366503,0,3.305460985,1.446240743,2.111637954,0,0,0,0,0,2.914919142,2.229608298,2.905551006
CRANIAL NERVE DEVELOPMENT,GOBP,GO:0021545,2.177344153,0,0,2.440584513,2.914914014,0,0,0,1.305293678,0,0,0,0,0,0,0,0,1.648443205,0,0,0,0
REGULATION OF ADHERENS JUNCTION ORGANIZATION,GOBP,GO:1903391,1.470425414,2.418149365,9.857483907,5.072638731,0,0,0,0,3.542873884,1.659402768,0,0,0,7.558180774,0,2.326367596,0,0,0,5.230014152,2.641230947,1.813607245
ENDOTHELIAL TUBE MORPHOGENESIS,GOBP,GO:0061154,0,3.246245071,2.401321715,0,0,0,0,0,0,0,2.808790733,0,0,1.458761432,0,2.86805955,0,0,0,1.730437452,2.017736023,0
POST-EMBRYONIC ANIMAL ORGAN DEVELOPMENT,GOBP,GO:0048569,1.654252205,1.786689975,0,0,0,0,0,0,0,0,0,0,0,1.333459546,0,0,2.243022332,0,0,5.511343782,3.187668142,0
PURINE NUCLEOSIDE MONOPHOSPHATE METABOLIC PROCESS,GOBP,GO:0009126,0,0,1.627343829,0,0,0,2.860562242,0,1.313844926,0,0,0,0,0,0,0,0,0,0,1.452830424,0,4.583343854
REGULATION OF VASOCONSTRICTION,GOBP,GO:0019229,0,0,0,0,0,0,0,0,0,0,0,0,0,2.424818662,0,1.501937314,2.825231741,1.417632982,0,0,3.023123854,0
ESTABLISHMENT OF MONOPOLAR CELL POLARITY,GOBP,GO:0061162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.482942558,0
RESPONSE TO HYDROXYUREA,GOBP,GO:0072710,0,0,0,0,0,2.211540223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SYNAPTIC TRANSMISSION, CHOLINERGIC",GOBP,GO:0007271,0,0,0,0,0,1.657861799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.406635399,0
ANOIKIS,GOBP,GO:0043276,0,0,0,0,0,0,0,0,0,0,0,2.211305423,2.484510683,3.958198919,1.369069922,0,0,0,0,0,0,0
IONOTROPIC GLUTAMATE RECEPTOR SIGNALING PATHWAY,GOBP,GO:0035235,0,0,1.454176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF T CELL CHEMOTAXIS,GOBP,GO:0010820,1.596859109,0,0,0,0,0,0,0,0,0,0,3.272148287,2.21271889,2.250036712,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF POTASSIUM ION TRANSPORT,GOBP,GO:0043268,0,0,0,0,0,1.656166097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.311726207,0
INTERLEUKIN-1-MEDIATED SIGNALING PATHWAY,GOBP,GO:0070498,0,4.20173086,4.86751005,1.345679012,2.98732811,0,5.120413285,1.60805683,1.399406913,2.115151937,0,3.205950862,7.18521671,7.007439113,0,0,0,0,0,4.296543587,0,4.45596508
EMBRYONIC PLACENTA MORPHOGENESIS,GOBP,GO:0060669,0,0,0,0,0,0,0,0,1.813243224,0,0,0,0,0,0,0,1.784461314,0,0,4.248209142,3.668628886,2.438076528
RESPONSE TO CALCIUM ION,GOBP,GO:0051592,1.954845477,0,3.650130156,0,1.51506522,2.644420336,3.044695291,0,0,0,0,0,0,1.533391419,0,0,1.497950622,2.173117053,1.814614227,2.921600765,1.988960083,1.916104942
NEGATIVE REGULATION OF CALCINEURIN-NFAT SIGNALING CASCADE,GOBP,GO:0070885,0,0,0,0,0,2.087689951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
REGULATION OF GLUCOSE IMPORT,GOBP,GO:0046324,6.529880611,2.963610285,2.372780361,3.923193831,0,1.848696625,0,0,0,2.975970783,0,1.650283384,0,1.316851909,0,0,1.981446683,0,0,0,2.294633834,1.453534741
PROTEIN IMPORT INTO PEROXISOME MEMBRANE,GOBP,GO:0045046,0,0,1.646075412,0,0,0,2.810773974,0,0,0,0,1.622312272,0,1.776555228,0,0,0,0,0,0,0,0
TRANSCRIPTION BY RNA POLYMERASE I,GOBP,GO:0006360,0,0,1.566568716,0,0,0,0,0,0,0,0,4.087397514,1.378255323,4.204677121,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF OXIDOREDUCTASE ACTIVITY,GOBP,GO:0051353,0,0,2.372780361,2.982959422,1.563592698,0,0,0,0,0,0,0,0,1.925958557,0,0,0,0,0,1.779278919,5.24917146,3.124911752
CELLULAR MODIFIED AMINO ACID BIOSYNTHETIC PROCESS,GOBP,GO:0042398,0,0,0,0,0,0,0,0,0,0,0,0,1.305293678,0,0,0,0,0,0,0,0,0
EMBRYONIC APPENDAGE MORPHOGENESIS,GOBP,GO:0035113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.48503374,0,0,0,0,3.167384337
CEREBRAL CORTEX CELL MIGRATION,GOBP,GO:0021795,0,2.53489437,2.214669849,0,0,0,0,0,0,0,2.928707038,0,0,0,0,0,1.331923789,0,0,1.412148993,0,0
REGULATION OF PEROXISOME PROLIFERATOR ACTIVATED RECEPTOR SIGNALING PATHWAY,GOBP,GO:0035358,0,0,0,0,0,0,0,0,0,0,0,0,0,2.435578002,0,0,0,0,0,0,0,1.918286683
NEGATIVE REGULATION OF MYELOID LEUKOCYTE DIFFERENTIATION,GOBP,GO:0002762,2.110491604,0,1.376984626,1.548067793,4.164612391,2.034465808,0,2.440783605,0,0,0,0,0,0,0,1.699315909,4.388929024,1.613130774,0,0,0,1.629696857
IMMUNE RESPONSE-ACTIVATING CELL SURFACE RECEPTOR SIGNALING PATHWAY,GOBP,GO:0002429,4.1938195,5.204202868,13.0428084,1.978205837,0,0,2.549807051,2.043136863,0,1.527356358,0,2.426805202,2.040464084,5.564795723,1.499840062,2.341859913,0,0,0,1.851183788,2.797218143,2.649576346
MATING,GOBP,GO:0007618,0,0,0,0,0,0,0,0,0,0,0,1.346242158,0,0,0,0,0,0,0,0,0,0
LENS FIBER CELL DEVELOPMENT,GOBP,GO:0070307,0,0,1.303594325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLOBAL GENOME NUCLEOTIDE-EXCISION REPAIR,GOBP,GO:0070911,0,0,1.454176,0,0,0,0,0,0,0,0,2.553716839,2.953859385,1.580879247,0,0,0,0,0,0,0,0
ADRENERGIC RECEPTOR SIGNALING PATHWAY,GOBP,GO:0071875,0,2.446762761,0,0,0,0,0,2.043311505,1.886051756,1.861859138,0,2.767184479,0,2.707171119,0,0,0,0,0,0,0,1.480179723
RESPONSE TO INCREASED OXYGEN LEVELS,GOBP,GO:0036296,0,0,1.332896642,0,0,1.536842925,0,0,0,0,0,1.39901794,1.656822248,2.255471911,0,0,2.770026572,2.012443393,2.315321096,6.219013879,3.340797165,0
POSITIVE REGULATION OF ENDOTHELIAL CELL MIGRATION,GOBP,GO:0010595,2.740866038,3.923354019,5.915920455,5.675127141,1.892552077,1.805501299,0,0,0,0,2.747521772,2.999259842,2.023274952,6.506622937,0,1.904392405,2.774317798,0,0,3.988623933,8.112699243,11.19420994
NEGATIVE REGULATION OF LYMPHOCYTE DIFFERENTIATION,GOBP,GO:0045620,2.689746019,0,1.762602483,0,1.578376896,0,0,2.270642503,0,0,0,1.671205505,0,0,0,0,0,0,0,0,2.323180767,0
REGULATION OF PLATELET ACTIVATION,GOBP,GO:0010543,1.724573085,1.911599015,0,0,0,0,0,0,1.527544867,1.504148274,0,0,0,0,0,0,0,1.879244183,0,1.650144246,0,2.008925063
VITAMIN BIOSYNTHETIC PROCESS,GOBP,GO:0009110,0,0,1.303594325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MACROPHAGE MIGRATION,GOBP,GO:1905517,0,1.532918083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRANCHING INVOLVED IN URETERIC BUD MORPHOGENESIS,GOBP,GO:0001658,1.567050254,0,0,0,1.844601459,0,0,0,0,0,0,0,0,0,0,0,1.390218308,0,0,1.494375935,1.888352003,3.832255901
RESPONSE TO OXYGEN RADICAL,GOBP,GO:0000305,0,0,0,0,0,0,0,0,0,0,0,1.743619597,0,4.082636457,0,0,0,0,0,0,0,0
NEGATIVE REGULATION OF STEM CELL DIFFERENTIATION,GOBP,GO:2000737,0,0,0,0,0,0,0,0,0,0,0,1.66060496,0,0,0,0,0,0,0,0,0,0
RETINA HOMEOSTASIS,GOBP,GO:0001895,0,0,0,0,0,1.424834581,0,0,2.423386785,0,0,0,0,0,0,0,0,0,0,0,1.733887522,0
NEGATIVE REGULATION OF PEPTIDYL-LYSINE ACETYLATION,GOBP,GO:2000757,0,0,0,0,0,0,0,0,0,0,0,0,0,2.957271523,0,0,0,0,0,0,0,2.737045057
COENZYME BIOSYNTHETIC PROCESS,GOBP,GO:0009108,0,0,2.034374374,0,0,0,2.61900972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SPHINGOSINE-1-PHOSPHATE RECEPTOR SIGNALING PATHWAY,GOBP,GO:0003376,0,0,0,3.04930079,0,0,0,0,0,0,0,0,0,1.333459546,0,0,0,0,0,0,1.88543066,0
REGULATION OF COAGULATION,GOBP,GO:0050818,3.167091367,4.441235966,2.490183954,1.448385745,0,0,0,0,0,2.231316916,0,0,0,0,0,0,0,1.975567944,1.39971211,1.685463096,3.063754118,2.981341934
SECOND-MESSENGER-MEDIATED SIGNALING,GOBP,GO:0019932,1.620137148,2.539323741,2.232986677,1.344587195,0,0,0,0,0,0,0,1.525192569,0,3.14952536,0,0,0,0,0,2.579729381,4.068721794,2.837708121
NEGATIVE REGULATION OF MACROPHAGE ACTIVATION,GOBP,GO:0043031,1.447580413,0,0,0,0,0,0,0,0,0,0,1.788815735,0,0,0,0,0,0,0,0,0,0
CELLULAR RESPONSE TO LIPOTEICHOIC ACID,GOBP,GO:0071223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.211006493,5.312405941,0
NEGATIVE REGULATION OF VASCULAR ENDOTHELIAL GROWTH FACTOR RECEPTOR SIGNALING PATHWAY,GOBP,GO:0030948,0,0,2.296424569,0,0,0,2.095174436,0,0,2.312500651,0,0,0,2.435578002,0,0,0,0,0,0,1.948783291,0
RESPONSE TO EPIDERMAL GROWTH FACTOR,GOBP,GO:0070849,3.005630812,1.561141276,7.386128658,6.641929572,0,0,2.854034497,2.467360003,0,0,0,0,0,6.805117744,0,0,0,1.630577379,0,2.87916219,3.561330067,1.654228685
BILE ACID AND BILE SALT TRANSPORT,GOBP,GO:0015721,0,0,0,0,1.958900682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3'-UTR-MEDIATED MRNA STABILIZATION,GOBP,GO:0070935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.629389858,0
MALE SEX DETERMINATION,GOBP,GO:0030238,1.940993924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.176860275,0
CELLULAR RESPONSE TO OSMOTIC STRESS,GOBP,GO:0071470,0,0,2.741052168,0,0,0,2.336510821,1.729961829,3.938744691,1.553038343,0,1.321284661,1.57656667,2.10083173,0,0,0,0,0,2.617578521,3.173526608,0
ORGANELLE MEMBRANE FUSION,GOBP,GO:0090174,0,0,0,0,0,0,0,0,1.470603184,0,0,0,0,0,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF CELLULAR PROTEIN CATABOLIC PROCESS,GOBP,GO:1903364,1.822476737,0,6.482515524,2.811363881,2.228151532,1.851726192,1.619425345,2.456468462,1.463745203,1.424208625,1.385038509,0,0,4.480575885,0,0,1.416479431,2.917955164,1.745522218,2.186200888,2.463682396,3.01313477
MAMMARY GLAND DEVELOPMENT,GOBP,GO:0030879,7.086650103,4.34643167,9.203327521,5.211136876,2.654118223,1.637632588,0,2.129846328,0,0,0,0,0,3.150847892,0,0,9.634166924,1.646999672,2.065458849,2.297866119,3.923832899,1.724711035
REGULATION OF ANDROGEN RECEPTOR SIGNALING PATHWAY,GOBP,GO:0060765,0,0,2.404120421,0,1.866154067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.876353559
HISTONE ARGININE METHYLATION,GOBP,GO:0034969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.411718963,0,0,0
POSITIVE REGULATION OF PROTEIN IMPORT INTO NUCLEUS,GOBP,GO:0042307,3.39459185,0,5.078664668,0,0,2.292049249,2.125989993,0,0,1.415319258,0,0,0,1.839285597,0,0,0,0,0,0,2.886888328,1.876353559
ANGIOGENESIS INVOLVED IN WOUND HEALING,GOBP,GO:0060055,0,0,0,0,0,0,0,0,0,0,0,0,2.156982059,0,0,0,0,0,0,0,0,0
CELLULAR RESPONSE TO CALCIUM ION,GOBP,GO:0071277,1.330388719,0,2.717230391,0,0,2.176547329,0,0,1.575073811,0,0,0,0,0,0,0,0,0,1.465207728,3.216044735,2.444557374,0
RESPONSE TO DECREASED OXYGEN LEVELS,GOBP,GO:0036293,1.899858236,7.670305076,8.589896903,4.537644218,1.659042595,3.475286525,9.988049671,3.370256537,1.715600151,1.653831937,0,5.237588399,0,14.64040254,0,1.675987631,1.641793662,0,1.466015384,5.434399114,5.12718905,6.878068632
POSITIVE REGULATION OF PROTEIN LOCALIZATION TO ENDOSOME,GOBP,GO:1905668,1.784219635,1.918080242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.087177701,0,3.398240197,0
POSITIVE REGULATION OF OXIDATIVE STRESS-INDUCED CELL DEATH,GOBP,GO:1903209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.141281407
DNA STRAND ELONGATION,GOBP,GO:0022616,0,0,2.195050448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.376529199,1.921384614,0,0
TOLERANCE INDUCTION,GOBP,GO:0002507,1.596859109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BETA-CATENIN-TCF COMPLEX ASSEMBLY,GOBP,GO:1904837,0,0,2.082729545,2.115156864,0,0,1.426662714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEMBRANE FUSION,GOBP,GO:0061025,0,0,0,0,0,0,0,0,2.158917951,0,0,0,0,0,0,0,0,0,0,0,0,1.324625194
MAINTENANCE OF PERMEABILITY OF BLOOD-BRAIN BARRIER,GOBP,GO:0035633,1.871845075,0,0,0,0,0,0,0,1.629093843,1.605433405,0,0,0,0,0,0,0,0,0,1.795999454,2.204735711,0
