,,,GSE21935_Barnes_FSCZvsCTL,GSE21935_Barnes_MSCZvsCTL,GSE17612_Maycox_FSCZvsCTL,GSE17612_Maycox_MSCZvsCTL,GSE46509_Piet_FSCZvsCTL,GSE46509_Piet_MSCZvsCTL,GSE37981_Piet_FSCZvsCTL,GSE37981_Piet_MSCZvsCTL,female_scz_ancg_dge,female_scz_dlpfc_dge,female_scz_nacc_dge,male_scz_ancg_dge,male_scz_dlpfc_dge,male_scz_nAcc_dge
POSITIVE REGULATION OF MUSCLE CONTRACTION,GOBP,GO:0045933,0,1.673325814,2.921088992,0,0,0,0,0,0,0,0,0,0,0
EPITHELIAL TUBE FORMATION,GOBP,GO:0072175,0,0,0,2.996119718,3.017097777,0,0,0,0,0,0,0,0,0
REGULATION OF CYCLASE ACTIVITY,GOBP,GO:0031279,0,0,0,0,0,1.843232777,0,0,1.353339566,0,0,0,0,0
NEGATIVE REGULATION OF INTERFERON-GAMMA PRODUCTION,GOBP,GO:0032689,0,0,0,2.04235965,0,1.980595289,0,0,0,0,0,0,0,0
REGULATION OF LAMELLIPODIUM ASSEMBLY,GOBP,GO:0010591,1.979457819,0,0,2.021112423,0,0,0,0,0,0,0,0,0,0
TRICARBOXYLIC ACID METABOLIC PROCESS,GOBP,GO:0072350,0,0,0,0,0,0,0,0,0,0,0,2.1699877,0,3.683028939
NEGATIVE REGULATION OF G1/S TRANSITION OF MITOTIC CELL CYCLE,GOBP,GO:2000134,0,0,0,0,2.225366113,0,0,0,0,2.164472361,0,0,0,0
REGULATION OF INSULIN SECRETION INVOLVED IN CELLULAR RESPONSE TO GLUCOSE STIMULUS,GOBP,GO:0061178,0,0,0,0,1.709970319,0,0,2.381456268,0,0,0,0,0,0
PROTEIN HETEROTETRAMERIZATION,GOBP,GO:0051290,0,0,0,0,1.303731969,0,0,0,0,0,0,0,1.351455891,0
ACTIVATION OF PHOSPHOLIPASE C ACTIVITY,GOBP,GO:0007202,0,0,0,0,0,0,0,3.151459335,1.87300564,0,0,0,0,0
REGULATION OF MUSCLE ORGAN DEVELOPMENT,GOBP,GO:0048634,0,0,0,2.892244335,0,1.842581657,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF CELL ACTIVATION,GOBP,GO:0050867,0,0,1.616380467,0,1.719370935,0,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF TOLL-LIKE RECEPTOR 4 SIGNALING PATHWAY,GOBP,GO:0034145,0,0,0,0,0,1.369069922,1.349274745,0,0,0,0,0,0,0
REGULATION OF RESPONSE TO DRUG,GOBP,GO:2001023,0,1.941394388,0,0,0,0,0,2.950054783,0,0,0,0,0,0
PROCESS UTILIZING AUTOPHAGIC MECHANISM,GOBP,GO:0061919,0,0,0,0,0,2.101679023,0,0,0,0,0,1.450061832,0,0
NEURON REMODELING,GOBP,GO:0016322,0,0,0,0,0,0,0,0,1.336968449,1.347584891,0,0,0,0
MATERNAL BEHAVIOR,GOBP,GO:0042711,0,0,0,3.228997567,1.446761264,0,0,0,0,0,0,0,0,0
REGULATION OF TUBE SIZE,GOBP,GO:0035150,0,0,0,0,0,3.805471133,0,0,1.472042178,0,0,0,0,0
CORTICAL ACTIN CYTOSKELETON ORGANIZATION,GOBP,GO:0030866,0,0,0,0,2.097450805,0,0,0,2.382142944,0,0,0,0,0
ADHERENS JUNCTION ORGANIZATION,GOBP,GO:0034332,0,0,0,1.388268497,0,1.330303587,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF ENDOTHELIAL CELL DIFFERENTIATION,GOBP,GO:0045603,0,0,0,0,0,0,0,2.52637337,0,0,0,1.680442483,0,0
REGULATION OF T CELL DIFFERENTIATION,GOBP,GO:0045580,0,0,0,3.676547976,0,0,1.631401982,0,0,0,0,0,0,0
MODULATION BY SYMBIONT OF HOST APOPTOTIC PROCESS,GOBP,GO:0052150,1.379331222,0,0,0,0,0,1.349274745,0,0,0,0,0,0,0
RIBONUCLEOPROTEIN COMPLEX LOCALIZATION,GOBP,GO:0071166,0,0,2.359599355,0,0,0,0,0,0,0,0,0,0,3.698690302
REGULATION OF GLIAL CELL PROLIFERATION,GOBP,GO:0060251,0,0,0,0,0,0,0,0,1.971212943,0,1.833218779,0,0,0
REGULATION OF ESTABLISHMENT OF PROTEIN LOCALIZATION TO MITOCHONDRION,GOBP,GO:1903747,1.487479616,0,0,0,0,0,0,0,0,0,0,1.384309539,0,0
REGULATION OF CHEMOKINE PRODUCTION,GOBP,GO:0032642,0,1.846902181,0,0,0,1.303967632,0,0,0,0,0,0,0,0
REGULATION OF ASPARTIC-TYPE PEPTIDASE ACTIVITY,GOBP,GO:1905245,0,0,0,0,0,0,0,0,1.336968449,0,1.756860215,0,0,0
POSITIVE REGULATION OF TRANSCRIPTION OF NUCLEOLAR LARGE RRNA BY RNA POLYMERASE I,GOBP,GO:1901838,0,0,0,1.441249325,0,0,0,0,0,0,0,2.364486149,0,0
COBALAMIN METABOLIC PROCESS,GOBP,GO:0009235,0,0,0,0,0,0,0,0,0,0,0,1.787133125,0,1.551067458
NEGATIVE REGULATION OF MONONUCLEAR CELL PROLIFERATION,GOBP,GO:0032945,0,0,0,0,1.435527075,0,1.330731538,0,0,0,0,0,0,0
LYSOSOMAL LUMEN ACIDIFICATION,GOBP,GO:0007042,0,0,0,1.441249325,0,0,0,0,0,0,0,1.488297076,0,0
AORTIC VALVE DEVELOPMENT,GOBP,GO:0003176,0,0,0,0,3.484544704,0,0,0,0,0,0,2.924977436,0,0
BONE DEVELOPMENT,GOBP,GO:0060348,0,0,0,1.565497577,0,0,0,0,0,1.523453452,0,0,0,0
NEGATIVE REGULATION OF GTPASE ACTIVITY,GOBP,GO:0034260,0,0,0,0,0,1.880066618,0,0,2.057842127,0,0,0,0,0
CEREBRAL CORTEX RADIAL GLIA GUIDED MIGRATION,GOBP,GO:0021801,0,3.609435189,0,0,0,0,0,0,1.60126271,0,0,0,0,0
GENE SILENCING BY RNA,GOBP,GO:0031047,0,0,0,0,1.371805191,0,0,0,0,0,0,1.487314624,0,0
REGULATION OF MRNA CATABOLIC PROCESS,GOBP,GO:0061013,0,0,0,0,0,0,0,0,0,0,0,1.89026117,0,1.735097416
AXIS SPECIFICATION,GOBP,GO:0009798,0,0,0,0,1.445116348,0,0,0,0,0,0,1.418828469,0,0
DNA DOUBLE-STRAND BREAK PROCESSING,GOBP,GO:0000729,0,0,0,0,0,0,0,3.642113776,0,0,0,0,0,1.497564245
PATHWAY-RESTRICTED SMAD PROTEIN PHOSPHORYLATION,GOBP,GO:0060389,0,0,0,1.329661122,1.335142632,0,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF CHONDROCYTE DIFFERENTIATION,GOBP,GO:0032332,0,0,0,0,0,0,0,0,0,0,2.537496358,1.489997392,0,0
PROTEIN K48-LINKED UBIQUITINATION,GOBP,GO:0070936,0,1.389062636,2.477558177,0,0,0,0,0,0,0,0,0,0,0
UMP BIOSYNTHETIC PROCESS,GOBP,GO:0006222,0,0,0,0,1.446761264,0,1.389780442,0,0,0,0,0,0,0
HETEROCYCLE CATABOLIC PROCESS,GOBP,GO:0046700,0,0,0,1.505135605,0,0,0,0,0,0,2.037744471,0,0,0
INTRACELLULAR PROTEIN TRANSMEMBRANE TRANSPORT,GOBP,GO:0065002,0,1.348808148,0,0,0,0,0,2.360896854,0,0,0,0,0,0
HAIR FOLLICLE DEVELOPMENT,GOBP,GO:0001942,0,2.143512091,0,0,0,1.501735766,0,0,0,0,0,0,0,0
CALCINEURIN-NFAT SIGNALING CASCADE,GOBP,GO:0033173,0,0,0,0,1.369130275,0,1.312372587,0,0,0,0,0,0,0
REGULATION OF PROTEIN POLYMERIZATION,GOBP,GO:0032271,0,0,0,0,0,0,0,1.440782414,0,0,0,2.285607569,0,0
RESPONSE TO MUSCLE STRETCH,GOBP,GO:0035994,2.48840296,0,0,0,0,2.467889119,0,0,0,0,0,0,0,0
PULMONARY VALVE MORPHOGENESIS,GOBP,GO:0003184,0,0,0,0,0,0,0,0,0,0,1.467439367,3.927815057,0,0
NEGATIVE REGULATION OF G0 TO G1 TRANSITION,GOBP,GO:0070317,0,0,0,0,0,0,0,1.714802382,0,0,0,0,0,2.860467978
ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN,GOBP,GO:0048002,0,0,0,0,0,0,0,0,2.374756906,0,0,0,0,3.819828436
GLUTATHIONE METABOLIC PROCESS,GOBP,GO:0006749,0,0,0,0,0,0,0,0,0,0,1.62977623,1.389669153,0,0
RENAL TUBULE MORPHOGENESIS,GOBP,GO:0061333,0,0,0,1.659085445,2.825530538,0,0,0,0,0,0,0,0,0
PROTEOGLYCAN BIOSYNTHETIC PROCESS,GOBP,GO:0030166,0,0,0,0,0,1.639290403,0,1.381957851,0,0,0,0,0,0
REGULATION OF HEART RATE BY CARDIAC CONDUCTION,GOBP,GO:0086091,0,0,0,0,0,0,0,0,0,2.010874078,1.530011023,0,0,0
NEGATIVE REGULATION OF PEPTIDE HORMONE SECRETION,GOBP,GO:0090278,0,0,0,2.021112423,0,0,0,0,2.234267508,0,0,0,0,0
REGULATION OF CHONDROCYTE DIFFERENTIATION,GOBP,GO:0032330,0,0,0,1.869121095,0,0,0,0,0,0,1.301706544,0,0,0
POSITIVE REGULATION OF CELLULAR AMIDE METABOLIC PROCESS,GOBP,GO:0034250,0,0,2.007993314,0,0,0,0,0,0,0,0,0,1.381804523,0
ANTIGEN PROCESSING AND PRESENTATION,GOBP,GO:0019882,0,0,0,0,0,0,0,0,1.869174523,0,0,0,0,3.531923685
NUCLEOBASE METABOLIC PROCESS,GOBP,GO:0009112,0,1.673325814,0,0,0,0,0,0,0,0,0,2.101459525,0,0
POSITIVE REGULATION OF MITOCHONDRIAL OUTER MEMBRANE PERMEABILIZATION INVOLVED IN APOPTOTIC SIGNALING PATHWAY,GOBP,GO:1901030,0,0,0,0,0,2.071455146,0,0,0,0,0,1.896805669,0,0
MITOTIC NUCLEAR DIVISION,GOBP,GO:0140014,0,0,0,0,0,2.338513663,0,0,0,0,0,0,0,2.085386613
POSITIVE REGULATION OF EMBRYONIC DEVELOPMENT,GOBP,GO:0040019,0,0,0,0,1.971331042,0,0,0,0,0,0,1.437623284,0,0
NEGATIVE REGULATION OF GLIOGENESIS,GOBP,GO:0014014,0,1.75977351,0,0,0,0,0,0,3.260158854,0,0,0,0,0
MITOCHONDRIAL GENE EXPRESSION,GOBP,GO:0140053,0,0,0,0,0,0,0,0,0,0,0,4.914430831,0,7.621488483
IRON ION TRANSPORT,GOBP,GO:0006826,0,0,0,0,0,0,0,0,0,0,0,4.66065936,2.47356926,0
GLOMERULAR VISCERAL EPITHELIAL CELL DIFFERENTIATION,GOBP,GO:0072112,0,0,0,0,0,0,0,0,0,0,0,3.57138903,1.980809625,0
POSITIVE REGULATION OF LYMPHOCYTE DIFFERENTIATION,GOBP,GO:0045621,0,0,0,2.186291872,0,0,0,0,0,0,2.048012529,0,0,0
POSITIVE REGULATION OF CELL MORPHOGENESIS INVOLVED IN DIFFERENTIATION,GOBP,GO:0010770,0,0,0,0,0,0,0,0,0,0,0,3.191323713,1.508593339,0
REGULATION OF STRIATED MUSCLE TISSUE DEVELOPMENT,GOBP,GO:0016202,0,0,0,2.943256054,0,1.879392488,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF INTERFERON-BETA PRODUCTION,GOBP,GO:0032728,0,1.715313327,0,0,0,0,0,1.73612883,0,0,0,0,0,0
NEPHRON EPITHELIUM MORPHOGENESIS,GOBP,GO:0072088,0,0,0,1.685757594,2.866712923,0,0,0,0,0,0,0,0,0
TRANSITION METAL ION TRANSPORT,GOBP,GO:0000041,0,0,0,0,0,0,0,0,0,0,0,4.443396627,1.310385829,0
MAINTENANCE OF EPITHELIAL CELL APICAL/BASAL POLARITY,GOBP,GO:0045199,0,0,0,0,0,0,0,0,0,0,0,0,1.629470596,1.412590681
REGULATION OF VIRAL TRANSCRIPTION,GOBP,GO:0046782,1.56816531,0,0,0,0,0,0,0,0,0,0,0,1.649911052,0
MITOTIC CELL CYCLE CHECKPOINT,GOBP,GO:0007093,0,0,0,0,0,1.739583451,0,2.131995479,0,0,0,0,0,0
AORTA DEVELOPMENT,GOBP,GO:0035904,0,0,0,0,0,2.962565382,0,0,0,0,0,4.212199262,0,0
REGULATION OF GLUCOKINASE ACTIVITY,GOBP,GO:0033131,0,0,0,1.441249325,1.446761264,0,0,0,0,0,0,0,0,0
PURINE NUCLEOSIDE BISPHOSPHATE METABOLIC PROCESS,GOBP,GO:0034032,1.826240749,0,0,0,0,0,0,0,0,0,0,1.443712185,0,0
POSITIVE REGULATION OF CALCIUM ION TRANSMEMBRANE TRANSPORT,GOBP,GO:1904427,0,2.126519526,0,0,0,0,0,0,1.764077423,0,0,0,0,0
PRIMARY MIRNA PROCESSING,GOBP,GO:0031053,0,0,0,0,1.446761264,0,0,0,0,0,0,1.488297076,0,0
REGULATION OF SPINDLE ORGANIZATION,GOBP,GO:0090224,0,0,0,0,0,0,0,0,0,0,0,2.035535291,1.760018833,0
RESPONSE TO NICOTINE,GOBP,GO:0035094,0,1.595824305,0,0,0,0,0,0,0,0,0,0,1.657402025,0
REGULATION OF AMINO ACID TRANSPORT,GOBP,GO:0051955,0,0,0,0,0,0,0,3.073405765,1.782269678,0,0,0,0,0
CDP-DIACYLGLYCEROL METABOLIC PROCESS,GOBP,GO:0046341,0,0,0,0,0,0,0,0,0,0,2.891397905,0,1.411471513,0
PROTEIN LOCALIZATION TO SYNAPSE,GOBP,GO:0035418,0,1.633566197,0,0,0,0,1.880257684,0,0,0,0,0,0,0
PHAGOSOME ACIDIFICATION,GOBP,GO:0090383,0,0,0,0,0,0,0,0,0,0,0,1.831869678,1.521734446,0
REGULATION OF FATTY ACID BETA-OXIDATION,GOBP,GO:0031998,0,0,0,2.613816693,0,0,0,0,0,0,0,1.878607541,0,0
GLOMERULAR EPITHELIUM DEVELOPMENT,GOBP,GO:0072010,0,0,0,0,0,0,0,0,0,0,0,3.809854662,2.668980178,0
PROTEIN TRANSMEMBRANE TRANSPORT,GOBP,GO:0071806,0,0,0,0,0,0,0,2.20892082,0,0,0,2.419164685,0,0
REGULATION OF DNA-DEPENDENT DNA REPLICATION,GOBP,GO:0090329,0,0,0,0,3.097431303,0,0,0,0,0,0,0,0,2.301301961
POSITIVE REGULATION OF MUSCLE TISSUE DEVELOPMENT,GOBP,GO:1901863,0,0,0,1.633331414,0,2.677457944,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF CYTOPLASMIC TRANSLATION,GOBP,GO:2000767,0,0,0,1.363638634,0,0,0,0,0,0,1.756860215,0,0,0
MACROPHAGE DIFFERENTIATION,GOBP,GO:0030225,0,1.999576423,4.943420268,0,0,0,0,0,0,0,0,0,0,0
T CELL MEDIATED IMMUNITY,GOBP,GO:0002456,0,0,0,0,0,0,0,0,0,0,0,1.347045767,2.405287097,0
REGULATION OF RELEASE OF SEQUESTERED CALCIUM ION INTO CYTOSOL BY SARCOPLASMIC RETICULUM,GOBP,GO:0010880,0,0,0,2.354498778,0,2.291766346,0,0,0,0,0,0,0,0
NEGATIVE REGULATION OF LEUKOCYTE DIFFERENTIATION,GOBP,GO:1902106,0,0,0,3.309719226,0,3.187801573,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF ASTROCYTE DIFFERENTIATION,GOBP,GO:0048711,0,0,0,0,1.369130275,0,0,0,0,0,0,2.043878398,0,0
REGULATION OF REACTIVE OXYGEN SPECIES BIOSYNTHETIC PROCESS,GOBP,GO:1903426,0,0,0,1.397353131,1.407511349,0,0,0,0,0,0,0,0,0
BONE MINERALIZATION,GOBP,GO:0030282,0,0,0,1.904435752,1.915121614,0,0,0,0,0,0,0,0,0
DIVALENT METAL ION TRANSPORT,GOBP,GO:0070838,0,0,0,0,0,1.587990398,0,0,0,0,0,1.769667318,0,0
NEGATIVE REGULATION OF INFLAMMATORY RESPONSE,GOBP,GO:0050728,0,0,1.524603437,0,0,1.374656037,0,0,0,0,0,0,0,0
MODULATION BY HOST OF VIRAL PROCESS,GOBP,GO:0044788,0,0,0,0,2.334274131,0,0,0,0,0,0,1.831869678,0,0
NEGATIVE REGULATION OF CELLULAR RESPONSE TO INSULIN STIMULUS,GOBP,GO:1900077,0,1.73721748,0,0,0,0,0,0,0,0,0,0,1.91268895,0
CRANIAL SKELETAL SYSTEM DEVELOPMENT,GOBP,GO:1904888,0,0,0,0,1.631214272,0,0,0,0,1.590332026,0,0,0,0
INNATE IMMUNE RESPONSE ACTIVATING CELL SURFACE RECEPTOR SIGNALING PATHWAY,GOBP,GO:0002220,4.021424646,0,0,0,0,0,0,1.567636451,0,0,0,0,0,0
RESPONSE TO ALKALOID,GOBP,GO:0043279,0,0,0,0,0,0,0,2.63603616,0,0,0,1.789333661,0,0
CHOLESTEROL METABOLIC PROCESS,GOBP,GO:0008203,0,0,0,0,0,0,0,0,1.636193237,0,0,1.851513033,0,0
POSITIVE REGULATION OF VESICLE FUSION,GOBP,GO:0031340,0,0,0,0,0,1.409616198,0,0,0,0,0,1.488297076,0,0
RIBONUCLEOSIDE BISPHOSPHATE METABOLIC PROCESS,GOBP,GO:0033875,1.826240749,0,0,0,0,0,0,0,0,0,0,1.443712185,0,0
REGULATION OF VIRAL ENTRY INTO HOST CELL,GOBP,GO:0046596,0,0,1.709688223,0,0,0,0,0,0,1.969016845,0,0,0,0
CELLULAR RESPONSE TO CARBOHYDRATE STIMULUS,GOBP,GO:0071322,2.478569208,0,0,0,0,1.426065159,0,0,0,0,0,0,0,0
TRANSLESION SYNTHESIS,GOBP,GO:0019985,0,0,0,0,0,0,0,0,0,0,1.447262785,0,0,1.353200798
I-KAPPAB PHOSPHORYLATION,GOBP,GO:0007252,0,2.701496332,0,0,0,0,1.312372587,0,0,0,0,0,0,0
ASYMMETRIC CELL DIVISION,GOBP,GO:0008356,0,0,0,0,0,0,2.76256173,0,0,0,0,1.680442483,0,0
REGULATION OF B CELL APOPTOTIC PROCESS,GOBP,GO:0002902,0,0,2.404874749,0,0,2.642345872,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF LEUKOCYTE APOPTOTIC PROCESS,GOBP,GO:2000108,0,0,2.089522815,0,0,2.324076286,0,0,0,0,0,0,0,0
MORPHOGENESIS OF EMBRYONIC EPITHELIUM,GOBP,GO:0016331,0,0,0,2.830909094,2.851678872,0,0,0,0,0,0,0,0,0
NEGATIVE REGULATION OF B CELL ACTIVATION,GOBP,GO:0050869,0,0,0,0,0,2.095898076,0,0,0,0,0,0,2.041426067,0
PHOTORECEPTOR CELL MAINTENANCE,GOBP,GO:0045494,0,0,0,0,0,1.880066618,0,1.616401573,0,0,0,0,0,0
PROTEIN-CONTAINING COMPLEX DISASSEMBLY,GOBP,GO:0032984,0,0,0,0,0,0,0,0,0,0,0,3.499025611,0,5.089584461
ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE OR POLYSACCHARIDE ANTIGEN VIA MHC CLASS II,GOBP,GO:0002504,0,0,0,0,0,0,0,0,1.530646499,0,0,0,0,3.999785509
ACTIVATION OF MAPKKK ACTIVITY,GOBP,GO:0000185,0,2.701496332,0,0,0,0,1.312372587,0,0,0,0,0,0,0
RELAXATION OF MUSCLE,GOBP,GO:0090075,0,0,0,2.531027023,0,0,0,0,0,0,0,1.701721523,0,0
LIPID LOCALIZATION,GOBP,GO:0010876,0,0,0,1.499873788,0,0,0,0,0,0,0,0,1.859465324,0
ELECTRON TRANSPORT CHAIN,GOBP,GO:0022900,0,0,0,0,0,0,0,0,5.53040347,0,0,0,0,2.027646881
NEGATIVE REGULATION OF CARDIAC MUSCLE TISSUE DEVELOPMENT,GOBP,GO:0055026,0,0,0,2.209484117,0,0,0,1.878369835,0,0,0,0,0,0
NEPHRIC DUCT MORPHOGENESIS,GOBP,GO:0072178,0,0,0,1.441249325,1.446761264,0,0,0,0,0,0,0,0,0
VENTRAL SPINAL CORD DEVELOPMENT,GOBP,GO:0021517,0,0,0,0,1.971331042,0,1.860734988,0,0,0,0,0,0,0
REGULATION OF BLOOD VESSEL SIZE,GOBP,GO:0050880,0,0,0,0,0,3.821433442,0,0,1.489355634,0,0,0,0,0
SPONGIOTROPHOBLAST LAYER DEVELOPMENT,GOBP,GO:0060712,0,0,0,0,0,0,0,0,0,1.313637762,0,0,1.411471513,0
NEUTRAL LIPID BIOSYNTHETIC PROCESS,GOBP,GO:0046460,0,0,0,2.293344661,0,0,0,0,0,0,1.873487904,0,0,0
REGULATION OF INTERLEUKIN-4 PRODUCTION,GOBP,GO:0032673,0,1.831742958,0,2.183363009,0,0,0,0,0,0,0,0,0,0
CHROMOSOME CONDENSATION,GOBP,GO:0030261,0,1.446588389,0,0,0,1.726667183,0,0,0,0,0,0,0,0
VIRAL GENOME REPLICATION,GOBP,GO:0019079,0,0,3.428244513,0,0,0,0,0,0,0,0,1.347045767,0,0
PROTEIN AUTO-ADP-RIBOSYLATION,GOBP,GO:0070213,1.342368269,0,0,0,0,1.33212724,0,0,0,0,0,0,0,0
POSITIVE REGULATION OF NUCLEAR DIVISION,GOBP,GO:0051785,0,0,0,0,0,1.45752269,0,2.107433486,0,0,0,0,0,0
SEMAPHORIN-PLEXIN SIGNALING PATHWAY,GOBP,GO:0071526,0,1.73721748,0,0,2.097450805,0,0,0,0,0,0,0,0,0
L-CYSTEINE METABOLIC PROCESS,GOBP,GO:0046439,0,0,0,0,0,0,0,0,0,0,0,1.373961739,0,1.334556158
MAMMARY GLAND EPITHELIAL CELL PROLIFERATION,GOBP,GO:0033598,0,0,2.924475405,0,0,0,1.389780442,0,0,0,0,0,0,0
LACTATION,GOBP,GO:0007595,0,0,1.670750112,3.273992598,0,0,0,0,0,0,0,0,0,0
NEURAL CREST CELL DIFFERENTIATION,GOBP,GO:0014033,0,1.873020478,0,0,1.389431858,0,0,0,0,0,0,0,0,0
NUCLEOSIDE BISPHOSPHATE METABOLIC PROCESS,GOBP,GO:0033865,1.826240749,0,0,0,0,0,0,0,0,0,0,1.443712185,0,0
TRANSLATIONAL ELONGATION,GOBP,GO:0006414,0,0,0,0,0,0,0,0,0,0,0,3.8087687,0,7.361580734
CELL-SUBSTRATE JUNCTION ASSEMBLY,GOBP,GO:0007044,0,1.614455,0,0,0,0,0,0,0,0,0,0,1.690587507,0
MODIFIED AMINO ACID TRANSPORT,GOBP,GO:0072337,0,0,0,0,0,0,0,0,0,0,0,1.965847978,0,2.37369895
REGULATION OF MONOCYTE DIFFERENTIATION,GOBP,GO:0045655,0,0,2.313776176,0,0,0,0,0,0,2.581562862,0,0,0,0
ANTIGEN PROCESSING AND PRESENTATION OF EXOGENOUS ANTIGEN,GOBP,GO:0019884,0,0,0,0,0,0,0,0,2.511993788,0,0,0,0,3.514198538
SYNAPTIC VESICLE EXOCYTOSIS,GOBP,GO:0016079,0,1.4030114,0,0,0,0,0,0,0,0,0,0,1.322990206,0
ESTABLISHMENT OF PROTEIN LOCALIZATION TO MITOCHONDRION,GOBP,GO:0072655,0,0,0,0,0,0,0,2.107433486,0,0,0,0,0,1.511265272
ACTIN FILAMENT BUNDLE ORGANIZATION,GOBP,GO:0061572,0,1.348808148,0,0,0,1.625669971,0,0,0,0,0,0,0,0
ICOSANOID METABOLIC PROCESS,GOBP,GO:0006690,0,0,0,0,0,0,0,0,0,0,0,1.332373628,1.626221014,0
CENTROSOME LOCALIZATION,GOBP,GO:0051642,0,0,0,0,2.304258666,0,2.191596622,0,0,0,0,0,0,0
ACTIVATION OF PROTEIN KINASE B ACTIVITY,GOBP,GO:0032148,0,0,1.86424477,2.158064928,0,0,0,0,0,0,0,0,0,0
INOSITOL PHOSPHATE METABOLIC PROCESS,GOBP,GO:0043647,0,0,1.430105195,0,0,0,0,0,0,0,0,0,1.871870973,0
NEGATIVE REGULATION OF MUSCLE HYPERTROPHY,GOBP,GO:0014741,0,0,2.026868363,0,0,0,0,0,0,0,0,0,1.521734446,0
REGULATION OF TYPE B PANCREATIC CELL PROLIFERATION,GOBP,GO:0061469,0,0,0,1.363638634,0,1.33212724,0,0,0,0,0,0,0,0
NEGATIVE REGULATION OF T-HELPER 17 CELL DIFFERENTIATION,GOBP,GO:2000320,0,0,0,1.400642145,0,0,0,0,0,0,0,1.373961739,0,0
LIPID CATABOLIC PROCESS,GOBP,GO:0016042,0,0,0,0,0,0,0,0,0,0,0,3.486001687,4.34037947,0
REGULATION OF GLYCOGEN METABOLIC PROCESS,GOBP,GO:0070873,0,1.73721748,0,0,0,3.373386772,0,0,0,0,0,0,0,0
VASCULAR PROCESS IN CIRCULATORY SYSTEM,GOBP,GO:0003018,0,0,0,0,0,4.437131649,0,0,1.40701098,0,0,0,0,0
AORTIC VALVE MORPHOGENESIS,GOBP,GO:0003180,0,0,0,0,2.220357695,0,0,0,0,0,0,2.737433927,0,0
WATER-SOLUBLE VITAMIN METABOLIC PROCESS,GOBP,GO:0006767,0,0,0,0,0,0,0,0,0,0,0,2.397646615,0,2.208523364
NEGATIVE REGULATION OF SMALL GTPASE MEDIATED SIGNAL TRANSDUCTION,GOBP,GO:0051058,0,2.392661566,0,0,0,0,1.629617635,0,0,0,0,0,0,0
REGULATION OF PROTEIN DEUBIQUITINATION,GOBP,GO:0090085,0,0,0,0,1.369130275,0,1.312372587,0,0,0,0,0,0,0
NEGATIVE REGULATION OF ENDOTHELIAL CELL APOPTOTIC PROCESS,GOBP,GO:2000352,0,0,0,0,0,0,0,0,1.921111889,0,0,1.622520327,0,0
POSITIVE REGULATION OF TELOMERE CAPPING,GOBP,GO:1904355,0,3.955548758,0,0,0,2.692381628,0,0,0,0,0,0,0,0
CELLULAR LIPID CATABOLIC PROCESS,GOBP,GO:0044242,0,0,0,0,0,0,0,0,0,0,0,1.801449182,4.362122502,0
LEARNING,GOBP,GO:0007612,0,2.19369342,0,0,0,0,0,0,0,0,0,2.112605907,0,0
ORGANIC HYDROXY COMPOUND CATABOLIC PROCESS,GOBP,GO:1901616,0,0,0,0,0,0,0,0,0,0,0,3.354289366,3.243251778,0
SOMITOGENESIS,GOBP,GO:0001756,0,0,0,0,0,2.779039153,0,1.381957851,0,0,0,0,0,0
TRIVALENT INORGANIC CATION TRANSPORT,GOBP,GO:0072512,0,0,0,0,0,0,0,0,0,0,0,1.830725519,1.954114592,0
GO ID NOT FOUND IN OBO FILE ONTOLOGY DEFINITIONS,GOBP,GO:0140289,0,0,0,0,0,0,0,0,0,0,0,2.043878398,1.477076064,0
NEGATIVE REGULATION OF ESTABLISHMENT OF PROTEIN LOCALIZATION,GOBP,GO:1904950,1.985603378,0,0,0,0,0,0,0,1.69535035,0,0,0,0,0
CYTOPLASMIC PATTERN RECOGNITION RECEPTOR SIGNALING PATHWAY,GOBP,GO:0002753,0,1.633566197,0,0,0,0,0,1.654222724,0,0,0,0,0,0
REPRODUCTIVE BEHAVIOR,GOBP,GO:0019098,0,0,0,2.354498778,0,0,0,0,0,0,0,1.347045767,0,0
REGULATION OF REPRODUCTIVE PROCESS,GOBP,GO:2000241,0,0,1.360679926,0,0,0,0,0,0,1.710193546,0,0,0,0
MUSCLE CELL CELLULAR HOMEOSTASIS,GOBP,GO:0046716,0,0,0,0,0,0,0,0,1.713305101,0,0,0,0,1.607829877
"REGULATION OF SYNAPTIC TRANSMISSION, DOPAMINERGIC",GOBP,GO:0032225,0,2.504632114,0,0,0,0,0,0,0,0,0,1.680442483,0,0
PROTEIN COMPLEX OLIGOMERIZATION,GOBP,GO:0051259,0,0,0,0,0,0,1.822386419,0,0,0,0,2.259477078,0,0
STEROL TRANSPORT,GOBP,GO:0015918,0,0,0,0,0,0,0,0,0,1.48641133,0,1.349687317,0,0
